"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"PLCG2"	"DDX3X"	"ABI1"	"PLCG2"	0.965503875968992	"MLXIP"	"ARHGDIB"	"FBXL18"	"TCEA1"	"CD74"	"ATP6V1H"	"MCTS1"	"BCAR3"	"RAC1"	"FUS"	"MME"	"PMS1"	"ARL1"	"VRK3"	"COL3A1"	"ACTL6A"	NA	NA	NA	NA	NA	NA	NA	NA
"VHL"	"POLR3F"	"TXNRD1"	"VHL"	0.956060606060606	"FBXL18"	"RPP30"	"SREK1IP1"	"RAP1A"	"ABI1"	"CMAHP"	"NDUFS4"	"AKR1C1"	"SERPINE2"	"CD96"	"CNTN1"	"STRAP"	"APP"	"TGFBI"	"DOCK2"	"C11orf58"	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"ZMYM6"	"CCND3"	"CD74"	0.936302681992337	"PLCG2"	"HEXA"	"KIAA1109"	"IKZF1"	"CCNC"	"SUV39H2"	"TSPYL1"	"SOX4"	"ATP6V1H"	"PLK4"	"KIAA1109"	"PLCG2"	"C11orf58"	"MYBL1"	"CUL2"	"JMJD6"	NA	NA	NA	NA	NA	NA	NA	NA
"ABI1"	"ABHD11"	"FUS"	"ABI1"	0.933333333333333	"LRRC59"	"COL1A1"	"FGD2"	"TRIM37"	"KRAS"	"NNMT"	"GSN"	"FAM53B"	"TBC1D1"	"CXCL2"	"DDX50"	"TGFBI"	"COL5A2"	"FGD2"	"RPS15"	"MKNK1"	NA	NA	NA	NA	NA	NA	NA	NA
"CCNC"	"RPS15"	"IKZF1"	"CCNC"	0.930735930735931	"POLR3F"	"ZNF493"	"PIKFYVE"	"ABI1"	"PSIP1"	"THADA"	"NNMT"	"WIPI2"	"USP25"	"TPM2"	"LEPROT"	"DYNLRB1"	"CCNA1"	"COPA"	"CRISP3"	"DNAJC2"	NA	NA	NA	NA	NA	NA	NA	NA
"KRAS"	"IKZF1"	"SUZ12"	"KRAS"	0.930017921146953	"WIPI1"	"VHL"	"TRIM37"	"CLTA"	"F2R"	"QPCT"	"PSMD6"	"SORT1"	"FGD2"	"MME"	"MCCC2"	"ARHGDIB"	"PIAS2"	"FERMT2"	"GSN"	"VHL"	NA	NA	NA	NA	NA	NA	NA	NA
"PSIP1"	"SEPTIN7"	"CD74"	"PSIP1"	0.925045580017797	"ROCK1"	"ATXN1"	"TXNDC9"	"HBB"	"RAC1"	"ZMYM6"	"IST1"	"KRAS"	"CBX5"	"CCN1"	"SPINK2"	"GSN"	"TOR1AIP1"	"VCAM1"	"TPM3"	"PAK2"	NA	NA	NA	NA	NA	NA	NA	NA
"F2R"	"ZNF674"	"CCNC"	"F2R"	0.917242362498152	"SLC11A1"	"DIAPH1"	"HSD17B12"	"USP25"	"SMC1A"	"PLOD2"	"HBB"	"SUV39H2"	"MDN1"	"POLR3F"	"ZNF91"	"PIGK"	"PIGK"	"MYL12A"	"SRGN"	"DRP2"	NA	NA	NA	NA	NA	NA	NA	NA
"SUZ12"	"SRGAP3"	"FLT3"	"SUZ12"	0.914351851851852	"TNPO1"	"CLTA"	"CCSER2"	"SF1"	"DDX3X"	"NKTR"	"WLS"	"POLR2B"	"LOX"	"PABPC1"	"CLTA"	"COL5A2"	"TCEA1"	"NDUFS4"	"ZDHHC14"	"TUBA1B"	NA	NA	NA	NA	NA	NA	NA	NA
"CCND3"	"RPS9"	"TPM3"	"CCND3"	0.895768833849329	"MCCC2"	"PABPC1"	"ZMYND11"	"PAK2"	"PICALM"	"SCAMP1"	"NIP7"	"RAC1"	"BTG3"	"PTPRC"	"ANPEP"	"CUL2"	"USP25"	"GOSR1"	"JMJD6"	"COL1A1"	NA	NA	NA	NA	NA	NA	NA	NA
"SMC1A"	"COL1A1"	"CCND1"	"SMC1A"	0.882	"PIKFYVE"	"HPRT1"	"FAM53B"	"EMID1"	"CCND3"	"SLC4A1"	"DIAPH1"	"TOR1AIP1"	"SRC"	"STMN1"	"PABPC1"	"SMC1A"	"DYNLRB1"	"RAC1"	"HNRNPC"	"FBXL18"	NA	NA	NA	NA	NA	NA	NA	NA
"RAC1"	"SUV39H2"	"PSIP1"	"RAC1"	0.871073892108712	"ZMYND11"	"CMTM6"	"SUPT6H"	"CNTN1"	"EXT1"	"TRIM37"	"RHEB"	"CCNC"	"PMPCB"	"IKZF1"	"DIAPH1"	"FAM53B"	"HOPX"	"RNF130"	"ANTXR1"	"POLR3F"	NA	NA	NA	NA	NA	NA	NA	NA
"EXT1"	"MLXIP"	"EXT1"	"EXT1"	0.849222793135436	"ABI1"	"PNN"	"DOCK2"	"ABHD11"	"NUMA1"	"CCNA1"	"NCOA6"	"TGFBI"	"ACAT1"	"CALD1"	"ATP5PO"	"ANPEP"	"CXCL2"	"FBXL18"	"TMED5"	"EIF4EBP2"	NA	NA	NA	NA	NA	NA	NA	NA
"DDX3X"	"DNAJC2"	"RAC1"	"DDX3X"	0.836627140974967	"PLK4"	"DDX50"	"DENND4A"	"WTAP"	"DOCK2"	"ASAH1"	"HSD17B4"	"EMID1"	"PLK4"	"ACTL6A"	"S100A11"	"EIF4G2"	"COL6A3"	"SREK1"	"CCND3"	"SCAMP1"	NA	NA	NA	NA	NA	NA	NA	NA
"TPM3"	"PSMD6"	"F2R"	"TPM3"	0.826388888888889	"SEC62"	"DNAJC2"	"PPP2R5C"	"DOCK2"	"TPM3"	"ELOC"	"ALG5"	"ANXA2"	"ZNF91"	"RND3"	"SERPINE2"	"RNF144A"	"MYL9"	"TSPAN3"	"BAHCC1"	"ARL1"	NA	NA	NA	NA	NA	NA	NA	NA
"PICALM"	"DENND1B"	"DOCK2"	"PICALM"	0.799524946220111	"COL1A1"	"HNRNPC"	"CTNNB1"	"NUMA1"	"CALD1"	"PRCP"	"THBS1"	"ANTXR1"	"GGNBP2"	"SLC11A1"	"HIPK1"	"CBX5"	"MIA3"	"ZNF91"	"MCTS1"	"SEPTIN7"	NA	NA	NA	NA	NA	NA	NA	NA
"VCAM1"	"CLTA"	"PICALM"	"VCAM1"	0.779524617584708	"NUMA1"	"F2R"	"GGNBP2"	"VHL"	"LGMN"	"TPM3"	"VPS35"	"STRAP"	"JMJD6"	"EAF2"	"ABI1"	"CD74"	"SORT1"	"ATF3"	"TSPAN3"	"PRCP"	NA	NA	NA	NA	NA	NA	NA	NA
"DOCK2"	"RAC1"	"NUMA1"	"DOCK2"	0.732028298528754	"RNF130"	"PMPCB"	"ATF3"	"PTPRC"	"VCAM1"	"CRISP3"	"ACTL6A"	"SMC1A"	"NDUFB6"	"MACROH2A1"	"CBX5"	"RPS15"	"PTPRE"	"STRADA"	"PIGK"	"HIPK1"	NA	NA	NA	NA	NA	NA	NA	NA
"NUMA1"	"CNTN1"	"VCAM1"	"NUMA1"	0.721365827192475	"TRAF5"	"S100A11"	"THADA"	"ELOC"	"COL1A1"	"PMAIP1"	"LITAF"	"TARDBP"	"ARL1"	"ANTXR1"	"NDUFS4"	"CCNC"	"TBC1D1"	"DOCK2"	"ECT2"	"GTF2F2"	NA	NA	NA	NA	NA	NA	NA	NA
"MMP2"	"ARHGDIB"	"PABPC1"	"MMP2"	0.645930649573511	"ZDHHC14"	"CKAP4"	"PPA2"	"HIPK1"	"PABPC1"	"LITAF"	"ABHD11"	"USP25"	"CD96"	"RTN4"	"GJA1"	"COL5A1"	"MYOF"	"VHL"	"DRP2"	"CBY1"	NA	NA	NA	NA	NA	NA	NA	NA
