"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"MMP13"	"LINC00511"	"MMP13"	"TOP2A"	0.892857142857143	"BBOX1.AS1"	"AQP4"	"DEPDC1"	"RRM2"	"CHRNB4"	"TERT"	"NMU"	"MELK"	"AC023301.1"	"SPINK1"	"CENPA"	"AC131649.2"	"PEBP4"	"SPRR3"	"GNG4"	"FEZF1.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"CLEC3B"	"HMGA2"	"MMP13"	0.880681818181818	"CLIC5"	"LINC01996"	"MYOC"	"CA4"	"WIF1"	"HOXC11"	"SPRR3"	"AL136164.3"	"NXPH4"	"GKN2"	"RHOV"	"WIF1"	"HBB"	"NEK2"	"RAB3B"	"GKN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGER"	"MEX3A"	"WIF1"	"SCGB1A1"	0.824242424242424	"TNNC1"	"SFTPC"	"DEPDC1B"	"TERT"	"BUB1B"	"KRT6B"	"PIMREG"	"TTK"	"GPA33"	"GJB6"	"CST1"	"STRA6"	"CDC25C"	"GPR17"	"FOXI3"	"TMPRSS4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB1A1"	"LGI3"	"BUB1B"	"SFTPA2"	0.818231162250067	"LINC00511"	"GPM6A"	"ZIC2"	"AURKB"	"VEGFD"	"GGTLC1"	"PI16"	"PAEP"	"AC135012.3"	"RMST"	"LINC01996"	"GPR87"	"MEX3A"	"AURKB"	"PAEP"	"MYOC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXC11"	"RTKN2"	"TERT"	"ADRA1A"	0.813492063492063	"GPD1"	"EDNRB"	"ADRB1"	"UBE2C"	"ADRB1"	"CAVIN2"	"ADGRF4"	"NMU"	"AKR1B10"	"ADAMTS7P3"	"TNXB"	"AP001189.1"	"C8B"	"CPB2"	"NMU"	"CHRM1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRB1"	"LINC00968"	"CA4"	"HOXC11"	0.81358024691358	"SPOCK2"	"RSPO1"	"EPN3"	"MMP1"	"CHRM1"	"FOSB"	"VEGFD"	"DEPDC1B"	"GPIHBP1"	"SLC2A1"	"AC104984.2"	"S100A2"	"CTXND1"	"MARCO"	"PRAME"	"F11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBB3"	"SPP1"	"SFTPC"	"BUB1B"	0.7875	"TCF21"	"TNNC1"	"COL11A1"	"MMP11"	"CA4"	"VEGFD"	"RPL13AP17"	"MMP10"	"AL606469.1"	"NXPH4"	"ABCA8"	"HOXC11"	"ACADL"	"GJB6"	"AC023301.1"	"ABCA12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTPA1"	"IGSF9"	"CHRM1"	"AGER"	0.761025965051558	"FAM189A2"	"VEGFD"	"MCM10"	"SFTPD"	"SFTPA1"	"XDH"	"PAEP"	"NXPH4"	"NETO1"	"RASAL1"	"NETO1"	"CRABP2"	"HBA1"	"MELK"	"GJB2"	"AC096531.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRA1A"	"OVCH1"	"SFTPA2"	"PGC"	0.766975308641975	"LINC00968"	"ADH1B"	"COL17A1"	"CDC25C"	"TMPRSS4"	"CNTNAP2"	"CEP55"	"TUBB3"	"PSAT1"	"ONECUT2"	"AP001189.1"	"BARX1"	"MYBL2"	"SFTPC"	"TPX2"	"ECEL1P2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1B"	"MYOC"	"MMP1"	"EDNRB"	0.756674294431732	"LINC01996"	"RTKN2"	"ASPM"	"TMPRSS4"	"PRX"	"PGLYRP3"	"FENDRR"	"KRT6B"	"KIAA0408"	"LY6D"	"CDC20"	"CENPA"	"SCN7A"	"PEBP4"	"SPP1"	"GNGT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRM1"	"AL606469.1"	"AGER"	"SFTPA1"	0.703703703703704	"SERTM1"	"RS1"	"CLDN18"	"C2orf91"	"RRM2"	"CR381670.1"	"RETN"	"BBOX1.AS1"	"MYOC"	"HBA1"	"CHRM1"	"MEX3A"	"PSAT1"	"PITX1"	"CTXND1"	"FOXI3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBB"	"ONECUT2"	"TUBB3"	"S100A7"	0.702023477863165	"CA4"	"FAM189A2"	"PITX1"	"EXO1"	"MMP13"	"GPA33"	"TMPRSS4"	"B3GNT3"	"UBE2C"	"EDNRB"	"CNTN6"	"FAM83A.AS1"	"LINC00511"	"CTHRC1"	"SPRR1B"	"SLC46A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"S100A7"	"SCUBE1"	"MMP12"	"ADRB1"	0.699293043848988	"SAPCD2"	"ITLN2"	"TRHDE"	"TPX2"	"RASAL1"	"BBOX1.AS1"	"GPR87"	"DES"	"ONECUT2"	"C2orf91"	"PRAME"	"VEGFD"	"S100A7"	"AKR1B15"	"SERPINB4"	"CD5L"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ZBTB16"	"FAM189A2"	"HOXC13"	"ZBTB16"	0.691123188405797	"CLDN18"	"LINC00511"	"CD5L"	"HBA2"	"HBA2"	"TMEM100"	"MELK"	"ADRA1A"	"KIF4A"	"PDK4"	"CASC9"	"LINC02864"	"CST1"	"MYOC"	"AL136164.3"	"MMP12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBA2"	"ABCA12"	"HBB"	"CHRM1"	0.679041666666667	"PDK4"	"PRX"	"PPP2R2C"	"CAV1"	"HBB"	"AURKB"	"COL11A1"	"S100A7"	"OVCH1"	"GNGT1"	"PGLYRP3"	"SFTPA2"	"AC093110.1"	"SERTM1"	"SERPINB5"	"CLDN18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TOP2A"	"AC095050.1"	"SCGB1A1"	"TMPRSS4"	0.681	"AQP4"	"SCUBE1"	"GTSE1"	"RASAL1"	"PGC"	"LINC02016"	"GPD1"	"TMPRSS4"	"TNNC1"	"SPOCK2"	"AC093110.1"	"AGER"	"EPN3"	"MMP13"	"ITLN2"	"SCUBE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP24A1"	"FEZF1.AS1"	"SFTPA1"	"CYP24A1"	0.677546639749917	"NPSR1.AS1"	"FAM107A"	"UBE2T"	"SFTPC"	"GTSE1"	"ADAMTS8"	"NPSR1.AS1"	"HTR3C"	"RS1"	"CCDC141"	"CAVIN2"	"CYP4A11"	"AC135012.3"	"TMEM100"	"MS4A15"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFAP2A"	"FHL1"	"COL17A1"	"HOXC13"	0.664487621258379	"XDH"	"GPIHBP1"	"PTPRH"	"CHRM1"	"TNXB"	"SFTA1P"	"DLL3"	"KRT14"	"FAM83A"	"ZIC2"	"RTKN2"	"ADGRF4"	"LINC01996"	"ADAMTS8"	"EPN3"	"PITX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBA1"	"PRX"	"SCARA5"	"MMP10"	0.659189285714286	"PRX"	"ABCA8"	"CPB2"	"CHRNB4"	"AURKB"	"TFAP2A"	"KIAA0408"	"INMT"	"CYP4A11"	"SFTPA1"	"ANLN"	"FCN3"	"GPR17"	"PRAME"	"CHRM1"	"HOXC11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TMPRSS4"	"GPD1"	"HHIP"	"CA4"	0.660926347516423	"SPP1"	"ACADL"	"IGSF9"	"CDC20"	"HMGA2"	"EXO1"	"CYP24A1"	"GPR17"	"DES"	"ECEL1P2"	"FHL1"	"ECEL1P2"	"NUF2"	"AC135012.3"	"CR381670.1"	"SFTA1P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
