"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"RHOA"	"NDUFB7"	"MAP1B"	"ACTB"	0.820833333333333	"FCF1P1"	"SNURF"	"YBX1"	"PPP3CA"	"ACTB"	"ACTG1"	"RTN4"	"MAP1B"	"MATR3"	"SCARNA13"	"DPYSL2"	"RPS21"	"RTN1"	"DNM1"	"SYT1"	"RN7SL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"QKI"	"RMRP"	"CAMK2A"	"YWHAG"	0.808080808080808	"EEF1G"	"NGRN"	"AK5"	"RPL31"	"SOX2"	"ALDOA"	"SCARNA21"	"FCF1P1"	"HSPA1A"	"MBP"	"HSPA1B"	"CKB"	"OLIG1"	"RN7SL2"	"YWHAZ"	"CAMK2A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IDS"	"RPL17"	"TUBB2B"	"SPTAN1"	0.8125	"BCYRN1"	"SNORD3A"	"PRKACB"	"KIF5C"	"DYNLL1"	"HES6"	"UBC"	"TUBA1B"	"PTPRZ1"	"PTMA"	"OLFM1"	"CALM2"	"NES"	"RPL30"	"MAP1A"	"SLC1A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SOX2"	"EEF2"	"TUBB"	"HTRA1"	0.776923076923077	"RPL41P1"	"RPL17"	"CNN3"	"ANK2"	"NES"	"EEF1A1P5"	"C1QC"	"HSPA8"	"RPL31"	"CDR1"	"FTL"	"RPS3A"	"RPL39"	"RPL23"	"RPL34"	"KIF5C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIM"	"MATR3"	"HSPA1A"	"SLC1A2"	0.755948295658433	"CDR1"	"RPL41P1"	"S100A6"	"ATRNL1"	"CHCHD2"	"DPYSL2"	"SCARNA9"	"SPTBN1"	"ACTB"	"B2M"	"RPL30"	"VIM"	"CNN3"	"IFI6"	"VSNL1"	"PWAR5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ATP1B2"	"CNBP"	"QKI"	"KIF5A"	0.745976557357125	"AKT3"	"AKT3"	"BCAN"	"GNAS"	"EEF2"	"B2M"	"RPS24"	"MLC1"	"S100B"	"SCARNA7"	"KIF5A"	"FTL"	"TRIM2"	"STMN2"	"RPS21"	"KIF5A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB7"	"DNAJC19P8"	"ACTB"	"ITM2B"	0.713297353316327	"MATR3"	"CALM2"	"NES"	"CAMK2A"	"IDS"	"RTN4"	"TMSB10"	"TRIM2"	"FCF1P1"	"EGFR"	"STMN1"	"CD99"	"MTCO1P2"	"ID4"	"RPS16"	"CNBP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"APOE"	"YBX1"	"EGFR"	"PCDH9"	0.720588235294118	"ZNF483"	"RPL31"	"PEA15"	"TUBA1B"	"SPTAN1"	"DYNLL1"	"CADM4"	"RPL10"	"RN7SL3"	"STMN1"	"RPL7"	"VSNL1"	"QKI"	"KIF5A"	"IGFBP7"	"RPL17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SNAP25"	"PCDH9"	"YWHAG"	"ACTG1"	0.652777777777778	"EEF1A1P5"	"ZNF483"	"ATP1B1"	"NSF"	"PLTP"	"APOE"	"MAP1B"	"RTN3"	"NGRN"	"RPS12"	"YBX1"	"PMP2"	"VSNL1"	"RPS12"	"SNORD3A"	"RPL37A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"AGT"	"DNM1"	"APOE"	0.618287630039845	"ATRNL1"	"EEF1A1P5"	"GLUL"	"RPL17"	"RPL31"	"RPS28P7"	"RTN1"	"BCAS1"	"UBC"	"ATRNL1"	"CD99"	"NACA"	"RTN4"	"CD74"	"NDUFB7"	"MRFAP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBA1B"	"NGRN"	"SPTAN1"	"FTL"	0.604098046875	"CALM2"	"ATRNL1"	"CSRP1"	"SNAP25"	"KIF5C"	"AK5"	"BCYRN1"	"RHOA"	"SDC3"	"RNY3"	"VIM"	"RPL37A"	"TPT1"	"TPT1"	"HTRA1"	"RPS7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBA1A"	"RPL31"	"PSAP"	"MLC1"	0.591336659663866	"RPS29"	"CDR1"	"CHI3L1"	"NDRG4"	"PFN1"	"PEA15"	"STMN2"	"RPS11"	"MAP2"	"RPL8"	"DAD1"	"ALDOA"	"SNAP25"	"NDRG4"	"ID3"	"GLUL"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBB2B"	"ACTG1"	"HTRA1"	"SOX2"	0.573863636363636	"CNBP"	"CNBP"	"AGT"	"UBC"	"GRIA2"	"SCARNA13"	"MEG3"	"PLTP"	"VIM"	"PTPRZ1"	"MBP"	"EGFR"	"MARCKSL1"	"RTN1"	"RN7SL4P"	"CSRP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACTB"	"RNY3"	"SLC1A2"	"TUBA1A"	0.570945553442266	"PCDH9"	"SKP1"	"AKT3"	"CALM1"	"PTN"	"IFI6"	"RN7SL4P"	"MOBP"	"PWAR5"	"CHI3L1"	"NES"	"RPL21"	"RPL10"	"SCARNA9"	"RPL17"	"MAP1A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LGALS1"	"ATRNL1"	"TUBA1A"	"IDS"	0.552775294501311	"RPL31"	"PCDH9"	"DNAJC19P8"	"COX4I1"	"TUBA1B"	"PCDH9"	"RPS15A"	"TPT1"	"SCARNA6"	"SCARNA9"	"CHN1"	"TUBB2B"	"MLC1"	"RTN3"	"RNY1"	"RMRP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RPL23"	"TRIM2"	"KIF5A"	"SNAP25"	0.551685073338598	"PFN1"	"RPS29"	"RPS7"	"SLC1A2"	"GNAS"	"MALAT1"	"MARCKS"	"SPP1"	"TIMP1"	"IGFBP7"	"ANK2"	"TUBB"	"SNORD17"	"CHI3L1"	"ATP1B1"	"CPLX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RPL10"	"SNURF"	"ITM2B"	"NDRG4"	0.545316951566952	"NDUFB7"	"PFN1"	"VSNL1"	"DPYSL2"	"ANK2"	"CD74"	"RNY1"	"SCG3"	"SCD5"	"PWAR5"	"NDUFB7"	"YWHAZ"	"RHOA"	"RPS15A"	"ANK2"	"RPL38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GFAP"	"PTPRZ1"	"PCDH9"	"EGFR"	0.543203884317543	"RPL37A"	"NDUFB7"	"RHOB"	"DNM1"	"CALR"	"BCAS1"	"ACTG1"	"RPLP2"	"PRDX5"	"YWHAG"	"CALR"	"ANK2"	"RHOB"	"GRIA2"	"CALM2"	"MATR3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RPL17"	"EEF1A1P5"	"SMOC1"	"DYNLL1"	0.53199055708048	"RPS7"	"RPL37A"	"SLC8A1"	"AK5"	"PTMS"	"RPL34"	"RPLP0"	"CNN3"	"CD99"	"KIF5C"	"SKP1"	"HSPA1A"	"ENC1"	"GPM6A"	"RPL13A"	"AKT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ID3"	"SDC3"	"ACTG1"	"PSAP"	0.52829532814238	"SLC8A1"	"ANK2"	"PREPL"	"RPS15A"	"RPL10"	"RNY1"	"CALM3"	"RPL6"	"COX8A"	"RPL13A"	"PLP1"	"RPS11"	"KIF5C"	"RPS7"	"RPLP2"	"NGRN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
