"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SCNN1G"	"PTGER1"	"SLC34A1"	"SCNN1B"	0.918	"SCNN1G"	"KNG1"	"PTGER3"	"GP2"	"CASR"	"FAM3B"	"KNG1"	"PIK3C2G"	"C7"	"SLC4A9"	"SLC13A2"	"AC010329.1"	"RPS24P17"	"FOXI1"	"TRPV6"	"FOXI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HSD11B2"	"IRX2"	"G6PC"	"SLC6A19"	0.901818181818182	"ADAM18"	"IRX2"	"COL23A1"	"NPHS2"	"SLC12A3"	"SLC34A1"	"XPNPEP2"	"MT1G"	"SLC4A1"	"IRX1"	"ALB"	"SLC9A3"	"UMOD"	"AC023154.1"	"NDUFA4L2"	"ESRP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPEP1"	"OVCH2"	"SCN7A"	"HSD11B2"	0.88031516851657	"LINC01077"	"HRG"	"PTPRN"	"SCNN1B"	"COL4A6"	"GP2"	"NLRP3P1"	"CTXN3"	"KLK1"	"SDS"	"SIGLEC8"	"AC025154.2"	"CDCA2"	"CALML3"	"LINC02121"	"TMEM238L"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRD"	"CRHBP"	"ALDOB"	"KCNJ10"	0.884615384615385	"MFSD4A"	"CDKN2A"	"SLC9A3"	"COL4A6"	"BSND"	"ERVE.1"	"AQP2"	"SLC5A2"	"SLC12A1"	"BIRC7"	"LINC01077"	"SLC7A13"	"CPNE6"	"FAM151A"	"BIRC7"	"MUC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLDN16"	"HRG"	"LMX1B"	"CLCNKA"	0.887605042016807	"NPHS2"	"IRX1"	"SLC12A3"	"GABRA2"	"SCNN1B"	"FABP7"	"OXGR1"	"CPNE6"	"TDGF1"	"GP2"	"CHRNA4"	"ATP6V1G3"	"LINC02783"	"PCK1"	"SFRP1"	"LINC01187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ1"	"LINC01077"	"SLC5A2"	"COL4A6"	0.88015873015873	"IRX1"	"MUC15"	"MYO3B"	"CLDN16"	"CLDN16"	"PTPRN"	"ADGRF1"	"LINC02303"	"AC025154.2"	"CHRDL1"	"AC124017.1"	"SLC30A2"	"BRINP3"	"SLC13A3"	"LINC02747"	"IRX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A3"	"SIGLEC8"	"SLC6A3"	"SLC5A2"	0.865885416666667	"CDKN2A"	"ADAM18"	"SLC12A1"	"CASR"	"SLC4A1"	"ESRRB"	"NUPR2"	"CLDN8"	"LINC01896"	"MFSD4A"	"PLPPR5"	"TDGF1"	"CNTN1"	"PLA2G7"	"PLA2G7"	"DMRT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ERBB4"	"MYBL2"	"PRDM16"	"CALCA"	0.867007672634271	"KNG1"	"TREM2"	"ATP12A"	"CLCNKA"	"ATP6V1B1"	"ATP6V1B1"	"MT1H"	"VTCN1"	"LINC01020"	"MYEOV"	"IRX2"	"CDCA2"	"GGT6"	"BIRC7"	"KNG1"	"ERVE.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKA"	"ACPP"	"CDKN2A"	"PLG"	0.829059829059829	"AC023154.1"	"LINC01077"	"AFM"	"HRG"	"CLCNKB"	"MTTP"	"LINC01606"	"HRG"	"GP2"	"NR0B2"	"FRMD7"	"PTGER1"	"GATA3.AS1"	"HS3ST2"	"GATA3.AS1"	"CNTN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EGF"	"CHRNA1"	"KCNJ1"	"LMX1B"	0.814781026503505	"DDN"	"SIGLEC8"	"GRHL2"	"BSND"	"ITGAD"	"AC008760.2"	"PADI1"	"CLDN16"	"SLC30A2"	"AC019117.3"	"SLC30A2"	"CHIT1"	"EHF"	"CRABP1"	"LINC01020"	"HPCAL4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A1"	"ADH1B"	"GABRA2"	"UMOD"	0.771428571428571	"IRX2"	"ITGAD"	"AQP6"	"DUSP9"	"NPHS2"	"OVCH2"	"SOST"	"KLK6"	"XPNPEP2"	"TREM2"	"ESRRB"	"TMPRSS2"	"LINC02048"	"FABP1"	"FRMD7"	"ADGRF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PTGER1"	"SLC26A7"	"PTGER1"	"AQP2"	0.746031746031746	"FXYD4"	"GP2"	"F11"	"ITGAD"	"GABRA2"	"CHIT1"	"CDCA2"	"ADGRF1"	"TNNT2"	"AC148477.4"	"HS6ST2"	"UMOD"	"LINC02747"	"C4orf54"	"AC023154.1"	"ATP6V1G3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A2"	"CLDN19"	"NPHS1"	"BSND"	0.744047619047619	"GP2"	"KCNJ10"	"NOS1"	"KNG1"	"HSD11B2"	"TSPAN8"	"CYP4F2"	"G6PC"	"DDN"	"AC122134.1"	"SLC12A3"	"LMX1B"	"ADH1C"	"AC011352.3"	"POU3F4"	"AQP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PRDM16"	"LHX1"	"BSND"	"SLC12A3"	0.747412008281574	"APOC1"	"LINC02437"	"TREM2"	"PRR35"	"ERBB4"	"CALB1"	"AC079760.2"	"PAPPA2"	"AC093904.4"	"AC068631.1"	"CLDN8"	"AC112243.1"	"AC010329.1"	"CA9"	"SLC4A9"	"RASL11B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BSND"	"GP2"	"CLDN19"	"ATP6V1B1"	0.733333333333333	"ITGAD"	"APOC1"	"PVALB"	"SLC4A1"	"NPHS1"	"SLC6A3"	"FER1L6"	"DIO1"	"SLC34A1"	"AC087045.3"	"CLCNKB"	"SLC22A6"	"DDN"	"VWA5B1"	"CD70"	"CLCNKB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UMOD"	"MT1G"	"SCNN1G"	"NPHS1"	0.68	"ACPP"	"TFAP2B"	"CPNE6"	"EGF"	"EGF"	"PVALB"	"SIGLEC8"	"CDCA2"	"SLC12A3"	"EHF"	"NAT8L"	"FOXI1"	"PADI1"	"LINC00887"	"SIM2"	"GABRD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"L1CAM"	"SCNN1G"	"AQP2"	"CLDN19"	0.675868962163105	"SIGLEC8"	"KCNJ1"	"MYBL2"	"CLCNKB"	"CA9"	"RPS24P17"	"PIK3C2G"	"CALCA"	"TNFAIP6"	"TYRP1"	"NPTX2"	"SIM2"	"CHIT1"	"PVT1"	"PROM2"	"FXYD4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKB"	"ACOT12"	"SCNN1B"	"SLC12A1"	0.678571428571429	"MUC15"	"PRR35"	"BMP7"	"SIM2"	"GP2"	"SIGLEC8"	"LMX1B"	"FBN3"	"HPD"	"PTGER1"	"LINC01896"	"LINC00955"	"KISS1R"	"LINC00645"	"RHCG"	"LINC01230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFA4L2"	"LINC01230"	"UMOD"	"CLCNKB"	0.665634018759019	"C5orf46"	"MFSD4A"	"BIRC7"	"NPHS1"	"CALCA"	"INSRR"	"LINC02121"	"KCNJ1"	"SLC26A7"	"PVT1"	"LINC01606"	"LINC01187"	"GRIK3"	"PIK3C2G"	"AC148477.4"	"PRSS22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G6PC"	"MAB21L4"	"SLC6A19"	"G6PC"	0.655172413793104	"MT1G"	"LINC01230"	"CHRNA4"	"ATP6V1B1"	"CLCNKA"	"AC011352.1"	"KLK6"	"NAT8L"	"LINC01230"	"SLC36A2"	"C7"	"SCNN1G"	"XPNPEP2"	"PTPRQ"	"ASB15"	"SFRP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
