"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"INSRR"	"C5orf46"	"FABP7"	"FABP7"	0	"AC138409.1"	"AL365181.2"	"SLC13A1"	"PRRX1"	"IFNG"	"ALDH8A1"	"LINC01614"	"FAM163A"	"SLC5A12"	"FAM83F"	"ADAM18"	"SRCIN1"	"LINC02747"	"AC015910.1"	"IFNG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SLC6A3"
"MYOC"	"GPR182"	"ADRB1"	"ADRB1"	0	"CARMN"	"LINC01077"	"SEMA5B"	"LCN2"	"EGLN3"	"FABP6"	"EPHA3"	"AC138089.1"	"C1QTNF7"	"UPB1"	"SLC5A3"	"TMEM61"	"TMEM155"	"ADRB1"	"AL078596.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC092535.5"
"ADRB1"	"LINC00887"	"HSPB7"	"HSPB7"	0	"SLC2A3P2"	"EGLN3"	"LINC01587"	"EGLN3"	"HSPB7"	"ADORA1"	"C1QTNF7"	"LINC02802"	"PRDM16.DT"	"KCNG3"	"AC084759.3"	"FCAMR"	"CLNK"	"SNORA33"	"UGT1A9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FABP7"
"CP"	"AC068299.2"	"LCN2"	"LCN2"	0	"SNORA49"	"APLN"	"PTHLH"	"HSPB7"	"ADRB1"	"HILPDA"	"OXGR1"	"CKMT1B"	"AL355376.2"	"SCG5"	"DIRAS2"	"AP005131.4"	"LINC00462"	"CKMT1B"	"KISS1R"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CKMT1A"
"ANO2"	"ENTPD3"	"EGLN3"	"EGLN3"	0	"AP005131.4"	"PCSK6"	"ANGPT2"	"APLN"	"LCN2"	"DPT"	"IRX1"	"LCN2"	"C7orf57"	"CDH8"	"C3orf70"	"CDH8"	"MYOC"	"LINC01322"	"IDO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ESRP1"
"PTPRN"	"SERPINE2"	"PTHLH"	"PTHLH"	0	"CDCA2"	"AC010655.2"	"UPB1"	"SLC6A3"	"PTHLH"	"GABRA2"	"AL161773.1"	"RGS5"	"SERPINE2"	"CXCL9"	"GPR182"	"SLC4A1"	"CLDN16"	"KIF6"	"C15orf48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SEMA5B"
"NGFR"	"AL391845.2"	"SCGN"	"SCGN"	0	"CA9"	"AC114803.1"	"GZMH"	"NPTX2"	"SLC6A3"	"GALR1"	"Z99289.2"	"LINC01077"	"CTHRC1"	"LINC02555"	"AC103563.2"	"MIAT"	"PI3"	"NIPA2P1"	"Z99289.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC010655.2"
"SCGN"	"APLN"	"SLC6A3"	"SLC6A3"	0	"IRX1"	"PLVAP"	"SIX4"	"HILPDA"	"HILPDA"	"LINC00462"	"SLC30A2"	"AC019197.1"	"ACAN"	"ADAM18"	"KISS1R"	"C5orf46"	"AC136601.1"	"LIPH"	"EGFR.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC01322"
"SLC13A1"	"C5orf58"	"IL13RA2"	"IL13RA2"	0	"RNU1.14P"	"OLFML2A"	"FA2H"	"STC2"	"APLN"	"KRT7.AS"	"AC084759.3"	"SVEP1"	"EPHA3"	"C5orf58"	"AC005912.2"	"AC011352.3"	"FA2H"	"AC103563.7"	"FUT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CGNL1"
"SEMA5B"	"SLC4A1"	"KISS1R"	"KISS1R"	0	"AC005912.2"	"ANGPT2"	"SCG3"	"KISS1R"	"NPTX2"	"LINC02555"	"SCG3"	"PHYHIPL"	"IDO1"	"AC005912.2"	"AC022898.2"	"ESRP1"	"AC103563.7"	"AC068299.2"	"TRBV3.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"INSRR"
"LINC01587"	"DRC7"	"HILPDA"	"HILPDA"	0	"RNU5A.1"	"FABP7"	"ESRP1"	"PTHLH"	"KISS1R"	"AL606970.1"	"GABRB3"	"NXPH4"	"IFNG"	"GDF6"	"LGI4"	"TRBV2"	"AC138932.2"	"PRRG2"	"NGFR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PROM2"
"PTHLH"	"TMEM155"	"MUC13"	"MUC13"	0	"RNU6.117P"	"ENPP3"	"NKG7"	"RGS5"	"STC2"	"ANGPT2"	"PTHLH"	"LDHD"	"MYOC"	"IRX1"	"SCNN1A"	"ADGRF1"	"ACAN"	"ALDH8A1"	"PRRX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LHFPL3.AS2"
"UPB1"	"LDLRAD4.AS1"	"GJB1"	"GJB1"	0	"PLA2G4F"	"NPTX2"	"DLX5"	"SLC4A1"	"ENPP3"	"INHBB"	"SIX4"	"SCN4B"	"CLDN16"	"AL391005.1"	"FA2H"	"RNU6.117P"	"LINC01187"	"FUT6"	"H2BC4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CA9"
"GZMH"	"LINC01077"	"CXCL5"	"CXCL5"	0	"AC016571.1"	"TMEM61"	"NPTX2"	"INSRR"	"SCGN"	"C7orf57"	"AC107021.1"	"RNU5B.1"	"C3orf70"	"SCG3"	"KRT7.AS"	"ACAN"	"AC011352.3"	"CP"	"CCBE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDCA2"
"SIX4"	"CLNK"	"APLN"	"APLN"	0	"DRC7"	"PNCK"	"CA9"	"CLDN16"	"SLC4A1"	"AC010655.2"	"NIPA2P1"	"FUT6"	"AC005912.2"	"SIRPG.AS1"	"HILPDA"	"AC138409.1"	"MIR210"	"AC093904.4"	"SLC5A12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL11"
"FA2H"	"RGS5"	"ANGPTL3"	"ANGPTL3"	0	"AC015910.1"	"INHBB"	"SH3GL2"	"ADRB1"	"RGS5"	"AL161773.1"	"AC022898.2"	"LOXL2"	"ADAM18"	"TRBV4.1"	"AC068299.2"	"APLN"	"KCNK3"	"LOXL2"	"LHFPL3.AS2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IRX1"
"SCG3"	"AC114803.1"	"NGFR"	"NGFR"	0	"AC011389.1"	"LGI4"	"CLNK"	"PNCK"	"GJB1"	"SCD5"	"GDF6"	"CP"	"LCN2"	"CGNL1"	"AC138089.1"	"AC015910.1"	"KISS1R"	"C7orf57"	"CKMT1A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OR7E47P"
"ESRP1"	"AP005131.1"	"CTHRC1"	"CTHRC1"	0	"SLC6A3"	"STC2"	"DAO"	"CXCL11"	"IL13RA2"	"AC103563.7"	"C15orf48"	"LGI4"	"MUC12"	"SLC5A3"	"LINC01929"	"SLC6A3"	"GSN.AS1"	"TRBV28"	"DIRAS2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAPK4"
"NKG7"	"PLA2G4F"	"NPTX2"	"NPTX2"	0	"LDLRAD4.AS1"	"RGS5"	"SCNN1A"	"NGFR"	"MUC13"	"MCHR1"	"GABRA2"	"AP005131.1"	"FABP6"	"C3orf70"	"TEX15"	"RPL39P3"	"NIPA2P1"	"TMEM163"	"SNORA33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL353801.1"
"DLX5"	"DLX5"	"PI3"	"PI3"	0	"AC138932.2"	"CKMT1A"	"IFNG"	"ANGPTL3"	"INSRR"	"C5orf46"	"MIAT"	"SIRPG.AS1"	"LRRTM2"	"NXPH4"	"AC005082.1"	"AC087045.3"	"EGFR.AS1"	"ADGRF1"	"MCF2L.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC01077"
