"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"KCNF1"	"AC008555.2"	"CHRM2"	"KRT4"	0.75	"AMACR"	"LGR6"	"GTSE1"	"HOXD13"	"WIF1"	"TMEM178A"	"ARHGEF38.IT1"	"OR51H2P"	"PENK"	"LINC01694"	"KY"	"RRM2"	"GAL"	"AC005336.3"	"PRAME"	"COL17A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT4"	"AC009119.1"	"PTPRT"	"KCNG3"	0.698139303017332	"CACNA1D"	"SNCG"	"CEACAM6"	"BMP5"	"RRM2"	"FOXJ1"	"AC009244.1"	"LMO3"	"SNORD60"	"SBSPON"	"KRT222"	"CLCA2"	"PCAT14"	"SNCG"	"GNG13"	"CLSTN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNG3"	"DNAH5"	"HOXD13"	"KCNF1"	0.708333333333333	"HPN"	"SLIT1"	"NOX4"	"CHRM2"	"DRD2"	"LUZP2"	"DRAIC"	"AC104667.2"	"HJURP"	"ALDH1L1.AS2"	"AL133325.3"	"NR1H4"	"HOXD13"	"GNG13"	"GPX2"	"UPK1A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXD13"	"NPY6R"	"PDLIM5"	"HOXD13"	0.704162897144459	"PNMT"	"AC144450.1"	"PTGS1"	"EPHA10"	"PTPRT"	"ERG"	"LINC01475"	"FOXD1"	"HOXD13"	"MYH6"	"BMP5"	"SOSTDC1"	"ELAVL2"	"KRT222"	"AC112206.4"	"SMKR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRM2"	"AMACR"	"KRT4"	"CHRM2"	0.714285714285714	"COL17A1"	"PCAT7"	"TDRD1"	"AMACR"	"DLX2"	"FBXL21P"	"ACSM1"	"HS3ST6"	"APOC1"	"GAL"	"TRIM58"	"SLC45A2"	"AC144450.1"	"AC008555.2"	"AL359314.1"	"PAX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX1"	"AC026356.2"	"EBF2"	"DLX1"	0.65792895388782	"PCSK6"	"PDLIM5"	"PGC"	"KCNF1"	"TUBB4A"	"FAM83C"	"ADAM2"	"AC009119.1"	"ADAM2"	"LINGO2"	"KRT4"	"SERPINA11"	"CST2"	"RPL7P16"	"LINC00261"	"CYP4B1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"AQP2"	"RRM2"	"BMP5"	0.648072957175926	"AC139783.1"	"AC104667.2"	"MLC1"	"RRM2"	"EBF2"	"TRGC1"	"EBF2"	"AC105450.1"	"AC005336.3"	"AL023802.1"	"SEMG1"	"CYP2W1"	"CES1P1"	"ANKRD34B"	"WIF1"	"CNTFR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EBF2"	"LINC01475"	"BMP5"	"RRM2"	0.653090441018418	"SIM2"	"AC009119.1"	"CPNE6"	"EBF2"	"KCNG3"	"C1QL1"	"PGC"	"LRRTM3"	"UGT2B4"	"HSPB3"	"IL21.AS1"	"DPT"	"ZIC5"	"LGR6"	"NETO2"	"AL162411.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RRM2"	"SNCG"	"DLX1"	"EBF2"	0.608934733129888	"AC026356.2"	"TDRD1"	"MYBL2"	"TDRD1"	"BMP5"	"VSNL1"	"AQP2"	"TRIM58"	"HS3ST6"	"ZIC5"	"AC011523.1"	"PAX1"	"SNHG4"	"AC012291.1"	"AC012531.1"	"OR51H2P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCSK6"	"SOSTDC1"	"DLX2"	"PCSK6"	0.60561513642227	"AC104667.2"	"AC008555.2"	"CHRNA4"	"CHRM3"	"CHRM2"	"LINC00672"	"UPK1A"	"SLC14A1"	"GAL"	"AMACR"	"AL117329.1"	"FAM83C"	"SEMG1"	"CEACAM6"	"CEACAM6"	"COL10A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DNAH5"	"COL10A1"	"DNAH5"	"DLX2"	0.515577795112364	"AL031123.2"	"GAL"	"MCF2"	"SCGB1A1"	"KRT4"	"PCAT14"	"ELFN1.AS1"	"AC008870.1"	"TPO"	"LUZP2"	"CCK"	"TRIM58"	"KCNG3"	"NPY6R"	"CA3"	"TPO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA11"	"PDLIM5"	"CHRNA4"	"PGC"	0.5	"AC009119.1"	"DLX2"	"VGLL1"	"PTPRT"	"NLRP12"	"AC005336.3"	"LY6D"	"MUC2"	"EMX2"	"NPPC"	"VIT"	"AC105450.1"	"PDE1C"	"CNTFR"	"PTPRT"	"SLC14A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA5"	"LGR6"	"GATA5"	"DNAH5"	0.5	"FXYD1"	"KRT222"	"OLFM4"	"NLRP12"	"SCGB1A1"	"STAC"	"CA3"	"PRSS35"	"TRGJP2"	"CIDEC"	"HSD17B13"	"ADAMTS18"	"AL589743.1"	"FXYD1"	"HJURP"	"FOXI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA3"	"AL031123.2"	"ADAM21"	"MUC2"	0.5	"SLIT1"	"AC141930.1"	"ADAM2"	"GTSE1"	"ERG"	"LINC01169"	"ARHGDIG"	"GAL"	"GATA5"	"AC105450.1"	"VWCE"	"OR51C1P"	"HSPB3"	"RBP4"	"PDE1C"	"MYH6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX2"	"SLIT1"	"PCSK6"	"SCGB1A1"	0.507611778286376	"DLX2"	"AC139783.1"	"FGL1"	"SIM2"	"AMACR"	"EMX2OS"	"FFAR2"	"RPL7P16"	"PTGS1"	"C1QL1"	"SMKR1"	"RPL7AP28"	"PAX1"	"PCAT1"	"AC012291.1"	"PCDHGA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MUC2"	"FXYD1"	"SCGB1A1"	"B3GNT6"	0.489427502188037	"CNTFR"	"ALDH1L1.AS2"	"TUBB4A"	"HOXC6"	"EPHA10"	"PCAT1"	"PROK1"	"FOXQ1"	"PTPRT"	"EPHA10"	"GJA3"	"CCK"	"AL133325.3"	"CGREF1"	"TPO"	"AC008555.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB1A1"	"SIM2"	"FOXI1"	"CEACAM6"	0.473178902777778	"MCF2"	"DNAH5"	"UPK1A"	"KCNG3"	"PHGR1"	"UPK1A"	"CABS1"	"MLC1"	"ERVH48.1"	"AL359314.1"	"SERPINA3"	"AL589743.1"	"FOXQ1"	"B3GNT6"	"CES1P1"	"CPNE6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3GNT6"	"ALDH1L1.AS2"	"MUC2"	"ADAM21"	0.439210648148148	"HJURP"	"MYBL2"	"HPN"	"SERPINA5"	"GATA5"	"LGR6"	"PLA1A"	"PCAT7"	"NETO2"	"FXYD1"	"PRAME"	"AC144450.1"	"C10orf82"	"HMGCLL1"	"CXCL13"	"ASPA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CEACAM6"	"LMX1B"	"KRT15"	"KRT15"	0.425505442674921	"RNF157"	"AL031123.2"	"ELAVL2"	"HPN"	"GTSE1"	"PI16"	"MYBL2"	"CES1P1"	"FOXD1"	"VGLL1"	"DLX1"	"RPL7P16"	"COL17A1"	"SOSTDC1"	"TRGC1"	"CYP2W1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADAM21"	"CNTFR"	"CEACAM6"	"NLRP12"	0.395114942528736	"MYBL2"	"AP006748.1"	"ASPA"	"KRT4"	"TDRD1"	"CHRM3"	"ROPN1B"	"AP006748.1"	"CCN5"	"APOC1"	"PCDHGB1"	"ASPA"	"TRGJP2"	"TPO"	"TGM3"	"INSM1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
