"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"daLFC"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"MYBL2"	"RPRM"	"MELK"	"MELK"	0	"KNDC1"	"SAPCD2"	"MYL9"	"KIF14"	"EHF"	"NCAM1"	"DIAPH3"	"KCNB1"	"H2BC18"	"MIR1185.2"	"AL355075.4"	"NCAPG"	"CCN5"	"TMPRSS4"	"HSPB3"	"ACTG2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYL9"	"PITX1"	"KIF14"	"KIF14"	0	"ASPA"	"NCAPG"	"CHRDL1"	"ELF5"	"CDC20"	"AF001548.1"	"MIR487B"	"H2AC17"	"SRPX"	"HSPB3"	"FAM153B"	"H3C10"	"MCM10"	"TOP2A"	"ACTG2"	"DEPDC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRDL1"	"CRHR1"	"ELF5"	"ELF5"	0	"WT1"	"RRM2"	"SRPX"	"MUC5AC"	"ELF5"	"RPRM"	"NECAB1"	"FGF10"	"ADRB3"	"SAPCD2"	"H2BC9"	"CDCA2"	"DIAPH3"	"TCEAL2"	"ATP1B2"	"MYBL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRPX"	"KCNB1"	"CDC20"	"CDC20"	0	"HSPB6"	"KNDC1"	"KLHL4"	"CDC20"	"BIRC5"	"LTBP4"	"HJURP"	"MIR205HG"	"WT1.AS"	"PITX1"	"RPL41P1"	"RSPO1"	"PTGER3"	"CASQ2"	"H2AC11"	"CNN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL4"	"KNL1"	"DES"	"DES"	0	"CPEB1"	"ASPA"	"OGN"	"BIRC5"	"PRAME"	"WT1.AS"	"FHL1"	"SNORD114.9"	"AC012442.1"	"PGM5.AS1"	"H2BC8"	"TBCAP1"	"HJURP"	"AP003071.4"	"PRLHR"	"KCNB1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OGN"	"MIR300"	"AQP5"	"AQP5"	0	"AP003071.4"	"NECAB1"	"ASPA"	"PRAME"	"E2F7"	"AC009299.2"	"FAR2P1"	"HPSE2"	"GSTM5"	"SRPX"	"H1.4"	"AC027449.1"	"AC099336.2"	"TCEAL6"	"MT.TC"	"TCF23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASPA"	"SCN2B"	"MMP12"	"MMP12"	0	"MRGPRF"	"GSTM5"	"SGCA"	"DES"	"MYBL2"	"TSPAN2"	"NCAM1"	"SNORD114.3"	"RPRM"	"ASPA"	"RERGL"	"OTX1"	"H2AC7"	"EHF"	"AP003071.4"	"WSCD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SGCA"	"ASPA"	"TFAP2A"	"TFAP2A"	0	"H2BC17"	"RSPO1"	"HLF"	"MYOCD"	"MYOCD"	"PTGER3"	"PPIAP39"	"AC027807.2"	"DIO3"	"AL022718.1"	"H3C12"	"FGF10"	"DIO3"	"OTX1"	"MIR487B"	"ASPA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HLF"	"ADRB3"	"PRAME"	"PRAME"	0	"LINC01537"	"HSPB2"	"NCAPG"	"MYBL2"	"ADRB3"	"AL139351.1"	"DLGAP5"	"PGM5"	"HSPB3"	"SLITRK3"	"ASPA"	"ASPA"	"PGM5.AS1"	"AC053503.3"	"AL022718.1"	"CDC20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NCAPG"	"NDN"	"BIRC5"	"BIRC5"	0	"MCM10"	"RPRM"	"RERGL"	"FGF10"	"FGF10"	"SNORD114.23"	"HSPB3"	"AC005912.1"	"AC002398.2"	"UPK1B"	"AC005180.2"	"AC053503.3"	"CRHR1"	"PTPRD.AS1"	"MYH11"	"NEK2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RERGL"	"IQGAP3"	"MYOCD"	"MYOCD"	0	"AC027449.1"	"PRELP"	"C7"	"TFAP2A"	"CLEC3B"	"SLITRK3"	"AC009299.2"	"AC005180.2"	"MNX1"	"HPSE2"	"BCHE"	"DLGAP5"	"NECAB1"	"AJ011932.1"	"KNDC1"	"MRGPRF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C7"	"H3C10"	"CRHR1"	"CRHR1"	0	"RERG"	"GAS1RR"	"BCHE"	"E2F7"	"CRHR1"	"RPL10P15"	"KLF2"	"TMPRSS4"	"SAPCD2"	"AC053503.3"	"RIC3"	"ACTG2"	"KIF14"	"FXYD1"	"LINC01537"	"MYOCD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BCHE"	"CCN5"	"PRLHR"	"PRLHR"	0	"CDCA2"	"FXYD1"	"UPK1B"	"CRHR1"	"MUC5AC"	"AC135803.1"	"SAPCD2"	"KLHL4"	"H4C8"	"H3C12"	"RSPO1"	"SCN2B"	"MNX1"	"FGF10"	"RPRM"	"RRM2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UPK1B"	"WT1"	"FGF10"	"FGF10"	0	"GSTM5"	"CDC20"	"OTX1"	"ADRB3"	"NEK2"	"LINC00605"	"AC012603.1"	"MIR300"	"LCN6"	"H2AC17"	"H3C7"	"MYOCD"	"H2BC7"	"SNORD114.23"	"MIR221"	"DLGAP5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
