"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"NMU"	"SMIM10L2B"	"H2BC17"	"H2BC17"	0.210461111111111	"GPRASP1"	"FAM13C"	"NDC80"	"RSPO3"	"H2BC9"	"C1QL4"	"AL391421.1"	"ARHGAP40"	"H3C8"	"AC002398.2"	"ACOXL"	"TDRD5"	"AARD"	"PADI3"	"GPR182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MNX1.AS1"
"AC099850.4"	"MAL2"	"HOXB9"	"HOXB9"	0.202	"CCNE1"	"NUF2"	"AQP6"	"ADGRV1"	"TUBA3E"	"VAX2"	"AOC1"	"AC002398.2"	"LINC02163"	"AC099850.4"	"TUBA3E"	"NUF2"	"AC119396.1"	"AL512324.1"	"AC012653.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GREM2"
"ELF5"	"SPEG"	"ROBO2"	"ROBO2"	0.1508	"UST"	"PTTG1"	"ACHE"	"H2BC9"	"NEURL1"	"SPC25"	"ATP1B2"	"TCEAL2"	"LINC02613"	"PNPLA3"	"Z82217.1"	"ADRB2"	"FAM72C"	"AC108472.1"	"SOD3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDKN2A"
"NDC80"	"IGFBP6"	"ATP1B2"	"ATP1B2"	0.097796103915638	"PALM"	"CPEB1"	"TPX2"	"TUBA3E"	"H2BC17"	"AC004080.15"	"AC103740.1"	"PLCXD3"	"MNX1"	"Z82217.1"	"ABCA6"	"AC103810.3"	"PRLR"	"AL357507.1"	"AC004233.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NBL1"
"KIAA1324"	"DLX4"	"TPX2"	"TPX2"	0.0802718190580796	"OMD"	"NECAB1"	"SLC22A17"	"ACOXL"	"RSPO3"	"COL26A1"	"KCNH2"	"LGI2"	"RBPMS2"	"PLCXD3"	"AL512324.1"	"ROBO2"	"LUCAT1"	"INA"	"AC016877.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC103702.2"
"RPS6KA6"	"CCNE1"	"OMD"	"OMD"	0.0718208888888889	"NECAB1"	"FXYD6"	"FMO2"	"NEURL1"	"DMRT1"	"LINC02428"	"AC108472.1"	"IGSF23"	"ELF5"	"GPR182"	"SLC2A4"	"SNCG"	"ZNF334"	"HSPB3"	"PHLDA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC092040.2"
"DLX4"	"CPEB1"	"ADRB2"	"ADRB2"	0.0624222222222222	"PTTG1"	"HSPB2"	"SMIM24"	"DMRT1"	"ADGRV1"	"MIR497HG"	"AC092040.2"	"SCN3B"	"FTH1P5"	"AL512324.1"	"SCRG1"	"HSPB6"	"GLDC"	"SCRG1"	"ROBO3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAGEH1"
"AL024508.1"	"CARMN"	"MNX1"	"MNX1"	0.0615574389515322	"SNAP25"	"DEPDC1B"	"PALM"	"PRKAR2B"	"PRKAR2B"	"EHF"	"GREM2"	"ROBO2"	"PCDHB18P"	"TDRD5"	"SLC47A1P2"	"CEACAM5"	"AC079949.2"	"H3C8"	"NPR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PRSS2"
"SLC22A17"	"UST"	"DMRT1"	"DMRT1"	0.0604	"DEPDC1B"	"MAGEH1"	"IGF2.AS"	"WT1"	"ALK"	"OGN"	"RNU6.140P"	"GLDC"	"RSPO3"	"LINC02613"	"PADI3"	"CXCL11"	"NCMAP"	"DLX3"	"LINC02724"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KIF1A"
"PTTG1"	"AC103702.2"	"EHF"	"EHF"	0.0586746666666667	"MTFR2"	"SMIM10L2B"	"PNPLA3"	"PTTG1"	"FOLR1"	"PADI3"	"OGN"	"SPC25"	"ZNF334"	"NEURL1"	"SLC16A10"	"S100A14"	"ATP5MC1P4"	"SPC25"	"FGF12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OMD"
"TPX2"	"ACHE"	"SLC2A4"	"SLC2A4"	0.0523	"IGFBP6"	"GPRASP1"	"MYBL2"	"KLC3"	"ACOXL"	"LINC02724"	"HSPB3"	"AC103810.3"	"ACHE"	"MNX1"	"HSPB6"	"AQP5"	"ABCA6"	"OMD"	"H3C8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC027449.1"
"SNCG"	"SLC47A1P1"	"IGFBP6"	"IGFBP6"	0.0472002636054422	"CPEB1"	"PALM"	"CHRDL1"	"GSPT2"	"MNX1"	"SNCA"	"HSPB2"	"LINC02724"	"ATP1B2"	"EHF"	"GREM2"	"GFRA1"	"TMEM132C"	"ABCA6"	"MIR3648.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ZNF334"
"SLC2A4"	"OGN"	"MYBL2"	"MYBL2"	0.0454361111111111	"SPC25"	"SNAP25"	"SRPX"	"ADRB2"	"GSPT2"	"SRPX"	"MAL2"	"KCP"	"GALNT17"	"DMBX1"	"RASSF6"	"SPC25"	"LINC01833"	"KIAA1549L"	"PALM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TMEM132C"
"KCNH2"	"FGF14.AS2"	"PRKAR2B"	"PRKAR2B"	0.0434055555555556	"LINC02613"	"SLC2A4"	"TMC5"	"KIF1A"	"HOXB9"	"TDRD5"	"OR2B6"	"NECAB1"	"AL139351.1"	"AC110491.1"	"AQP6"	"KCNG1"	"AC108472.1"	"AL139351.1"	"AC012076.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GPRASP1"
"PRLR"	"FGF12"	"NCCRP1"	"NCCRP1"	0.043	"LRCH2"	"DLX4"	"KLC3"	"TNNI3"	"ADRB2"	"GSPT2"	"EPHB6"	"AC092040.2"	"DLX4"	"LGALS7B"	"AC012076.1"	"INA"	"KCNG1"	"SLC16A10"	"SOX18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LRFN5"
"CPEB1"	"MYBL2"	"GSPT2"	"GSPT2"	0.0388	"SLC47A1P1"	"SRPX"	"CCNE1"	"LGALS7B"	"EHF"	"MAGEL2"	"AL162424.1"	"HMGA2"	"KIAA1324"	"HOXB9"	"CRABP1"	"NECAB1"	"EPHB6"	"H2AC17"	"SNCG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC004080.15"
"HSPB3"	"EPHB6"	"ACOXL"	"ACOXL"	0.0332	"NUF2"	"NMU"	"CEACAM5"	"MNX1"	"WT1"	"PRSS1"	"DMBX1"	"PNPLA3"	"RADIL"	"SLC2A4"	"METTL7B"	"AL512274.1"	"AL512274.1"	"PRSS1"	"SMIM10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM162B"
"GREM2"	"LGALS7B"	"ADGRV1"	"ADGRV1"	0.0296	"RMI2"	"MIR497HG"	"EPHB6"	"FOLR1"	"ACHE"	"SCRG1"	"FOLR1"	"DLX4"	"GPR158"	"RNU6.140P"	"WDR17"	"AC103702.2"	"AC110491.1"	"SMIM10"	"SLC16A10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MPV17L"
"AQP5"	"SLC2A4"	"HMGA2"	"HMGA2"	0.0285	"FGF14.AS2"	"IGFBP6"	"OGN"	"ACHE"	"EPHA3"	"GPR158"	"CPEB1"	"FAM13C"	"METTL7B"	"H2AC17"	"FTH1P5"	"FAM162B"	"CHST6"	"AC092666.1"	"PRLR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OGN"
"AOC1"	"NECAB1"	"WT1"	"WT1"	0.0284	"SLC2A4"	"SMIM10"	"ASPN"	"ALK"	"HMGA2"	"RNU6.140P"	"TDRD5"	"LINGO2"	"HGD"	"ACHE"	"CXCL11"	"PGAP4"	"ATP1B2"	"LINC00668"	"AC103740.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EPHB6"
