"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ASPM"	"RPRM"	"GRIN1"	"GRIN1"	0	"KNDC1"	"PTGIS"	"PITX1"	"ZBTB16"	"RRM2"	"HJURP"	"LGI4"	"EXO1"	"TSPAN2"	"ZBTB16"	"BUB1B"	"SCARA5"	"TNXB"	"PTGFR"	"SIX1"	"RSPO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PITX1"	"ASPA"	"WT1"	"WT1"	0	"CCBE1"	"GSTM5"	"FGF10"	"MYH11"	"ASPM"	"NPAS4"	"CENPA"	"FXYD1"	"H2AC17"	"TMPRSS4"	"UBE2C"	"ACTG2"	"GNGT1"	"DGKB"	"PTGER3"	"AC027449.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF10"	"CRHBP"	"SFRP4"	"SFRP4"	0	"RPL41P5"	"RERG"	"CAMK2A"	"GRIN1"	"TSPAN2"	"GALNT17"	"KNL1"	"AP003071.4"	"PI16"	"JPH2"	"HJURP"	"DES"	"RPL21P28"	"MKI67"	"SCN7A"	"KNDC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAMK2A"	"AC010776.2"	"RSPO1"	"RSPO1"	0	"ASPM"	"RADX"	"WSCD2"	"SCN7A"	"KIF1A"	"POTEF"	"RPRM"	"PRELP"	"CCL14"	"MELK"	"PADI3"	"TCF23"	"CLSPN"	"DES"	"FRMD7"	"TMPRSS4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"WSCD2"	"ADRA1D"	"MYH11"	"MYH11"	0	"RSPO1"	"GPM6A"	"GTSE1"	"PTGER3"	"ZIC4"	"CERS3.AS1"	"PDE2A"	"CAPN13"	"OGN"	"CERS3.AS1"	"JPH4"	"RRM2"	"CTSG"	"CDC20"	"SFRP4"	"PRAME"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GTSE1"	"CENPF"	"TNFAIP8L3"	"TNFAIP8L3"	0	"GPM6A"	"CLEC3B"	"TPX2"	"MNX1"	"BUB1"	"AC027807.2"	"DIAPH3"	"PPIAP39"	"ZBTB16"	"SLC1A7"	"KLF2"	"SCN7A"	"TNFAIP8L3"	"H2AC11"	"MNX1"	"SLITRK3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPX2"	"CAMK2A"	"MNX1"	"MNX1"	0	"DLGAP5"	"RSPO1"	"BIRC5"	"ADGRV1"	"CPEB1"	"E2F7"	"WT1.AS"	"TROAP"	"DGKB"	"LCN10"	"MMP12"	"PAGE4"	"SAA2"	"HSPB2"	"TNXB"	"KCNMB2.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BIRC5"	"DEFB124"	"ADGRV1"	"ADGRV1"	0	"CPEB1"	"KNDC1"	"KIF4A"	"FOXA1"	"SFRP4"	"TNFAIP8L3"	"RERG"	"AC005180.1"	"TEX15"	"CAPN13"	"TEX15"	"AP003071.4"	"KLHL4"	"LMOD1"	"KIF14"	"MMP12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KIF4A"	"RADX"	"TNXB"	"TNXB"	0	"MRGPRF"	"MRGPRF"	"JPH4"	"TNXB"	"SLC8A2"	"MIR221"	"AF001548.1"	"ZIC1"	"PRAME"	"AL139351.1"	"ANGPT4"	"LGI4"	"HAND2"	"SCARA5"	"GRIN1"	"TRH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"JPH4"	"SEL1L2"	"FRMD7"	"FRMD7"	0	"TMEM132C"	"PDE2A"	"CLSPN"	"FRMD7"	"AL031429.2"	"EXO1"	"MYH11"	"SIX1"	"CAVIN2"	"FHL1"	"MYBL2"	"RPL41P5"	"TMPRSS4"	"TFAP2A"	"RRM2"	"PGM5P4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLSPN"	"DIAPH3"	"RRM2"	"RRM2"	0	"POLQ"	"GAS1RR"	"CTSG"	"RRM2"	"PTGFR"	"BCHE"	"LMOD1"	"MYH11"	"VWC2"	"PI3"	"HAND2.AS1"	"CRYBG2"	"ZIC4"	"PCDH20"	"ADGRV1"	"SAA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CTSG"	"CPEB1"	"MELK"	"MELK"	0	"AL355075.4"	"FXYD1"	"MYBL2"	"MELK"	"OGN"	"AL031429.2"	"DLGAP5"	"CRHBP"	"AL355075.4"	"AL035425.4"	"ESPL1"	"NCAM1"	"PGM5.AS1"	"TCF23"	"MELK"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYBL2"	"PITX1"	"CXCL8"	"CXCL8"	0	"RPL21P28"	"DEPDC1"	"SEL1L2"	"KIF14"	"GPM6A"	"E2F8"	"ALPG"	"HSPB3"	"KCNA1"	"TRIM15"	"NAP1L2"	"ESPL1"	"GRIN1"	"RPL21P28"	"KCNA1"	"VWC2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SEL1L2"	"KLF2"	"KIF14"	"KIF14"	0	"GALNT17"	"CLSPN"	"ANGPT4"	"KCNA1"	"E2F8"	"LINC00702"	"ADGRV1"	"GFRA1"	"SCARA5"	"NPAS4"	"PI3"	"AP001107.5"	"CLVS2"	"AL158211.1"	"KIF18B"	"RADX"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ANGPT4"	"IGF2BP3"	"KCNA1"	"KCNA1"	0	"MCM10"	"KIF14"	"MYL9"	"KIF18B"	"SEL1L2"	"GAD1"	"ESPL1"	"H1.5"	"H2BC17"	"SLC8A2"	"MRGPRF"	"RERG"	"RNF183"	"TCEAL6"	"FOXA1"	"PRLHR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYL9"	"TFAP2A.AS1"	"KIF18B"	"KIF18B"	0	"RADX"	"DIAPH3"	"CHRDL1"	"CXCL8"	"ACTG2"	"CRYBG2"	"PGM5.AS1"	"MYOCD"	"TRIM15"	"AC053503.3"	"AC005180.2"	"TSPAN2"	"H1.5"	"HSPB3"	"UHRF1"	"DEFB124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRDL1"	"PRAME"	"ELF5"	"ELF5"	0	"ANLN"	"MKI67"	"PAGE4"	"ELF5"	"C7"	"IGF2BP3"	"AL355075.4"	"MCM10"	"NCAPG"	"PITX1"	"PDE2A"	"GFRA1"	"TNNT3"	"AL121796.1"	"UBE2C"	"LINC02163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PAGE4"	"SCN2B"	"ZIC1"	"ZIC1"	0	"WT1"	"MELK"	"SRPX"	"UHRF1"	"POTEF"	"MAMDC2"	"BUB1"	"ACTA2"	"H2BC7"	"MASP1"	"GAL3ST3"	"PDE2A"	"PI16"	"SIX1"	"CDC20"	"PEG3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRPX"	"OTX1"	"TPX2"	"TPX2"	0	"PGM5P4"	"CAVIN2"	"KLHL4"	"UBE2C"	"CHRDL2"	"ASPA"	"AC053503.3"	"PLK5"	"SEL1L2"	"UHRF1"	"MAMDC2"	"TRH"	"LMOD1"	"CPEB1"	"EXO1"	"HAPLN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL4"	"KCNMB2.AS1"	"UBE2C"	"UBE2C"	0	"ESCO2"	"BUB1"	"SFRP4"	"TPX2"	"AC005180.1"	"CLSPN"	"PPIAP39"	"AC027807.2"	"SLITRK3"	"ZIC4"	"KCNA1"	"ZNF695"	"CRYBG2"	"CASC9"	"TPX2"	"ADH1B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
