"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"daLFC"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"PITX1"	"AL121796.1"	"RSPO1"	"RSPO1"	0	"FXYD1"	"RPRM"	"FGF10"	"PTGER3"	"ERBB4"	"FGF10"	"ACTG2"	"AC053503.5"	"PGM5"	"SLC8A2"	"ELF5"	"RIC3"	"RPL41P5"	"LCN6"	"LINC00858"	"CLSPN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF10"	"ZNF300P1"	"MYH11"	"MYH11"	0	"NECAB1"	"ZNF300P1"	"CAMK2A"	"ZBTB16"	"SCN7A"	"FAR2P1"	"IQGAP3"	"TPX2"	"MEOX2"	"CENPF"	"DES"	"SCN2B"	"E2F2"	"MELK"	"GPIHBP1"	"TNNT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAMK2A"	"CRHR1"	"TNFAIP8L3"	"TNFAIP8L3"	0	"CDO1"	"AL035425.2"	"WSCD2"	"SCN7A"	"FRMD7"	"TNNT3"	"TCEAL6"	"TEX15"	"GNGT1"	"MKI67"	"SLC38A5"	"KLHL4"	"GPIHBP1"	"PRELP"	"ZBTB16"	"IQGAP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"WSCD2"	"IGF2BP3"	"MNX1"	"MNX1"	0	"E2F2"	"FXYD1"	"TPX2"	"MNX1"	"GRIN1"	"CASC9"	"CPEB1"	"MRGPRF"	"NCAPG"	"BCHE"	"AC053503.3"	"DES"	"RPL21P28"	"MCM10"	"CAPN13"	"AL355075.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPX2"	"GPM6A"	"FRMD7"	"FRMD7"	0	"UHRF1"	"DEPDC1"	"BIRC5"	"FRMD7"	"MNX1"	"RPRM"	"CDC25C"	"FHL1"	"RERG"	"AL035425.2"	"JPH2"	"SLC38A5"	"CASQ2"	"GRIN1"	"MRGPRF"	"ELF5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BIRC5"	"PLK5"	"RRM2"	"RRM2"	0	"TOP2A"	"KIF14"	"KIF4A"	"RRM2"	"KIF14"	"TPX2"	"ASPA"	"KRT6A"	"GPM6A"	"LINC00858"	"NEIL3"	"GNGT1"	"PTGIS"	"CASC9"	"CRHR1"	"MKI67"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KIF4A"	"ADRA1D"	"MELK"	"MELK"	0	"ZNF300P1"	"DIAPH3"	"JPH4"	"MELK"	"RRM2"	"AL035425.2"	"TRH"	"HRCT1"	"RIC3"	"DSCAML1"	"HSPB3"	"UBE2C"	"DLGAP5"	"PRND"	"AL121796.1"	"KIF4A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"JPH4"	"MKI67"	"CXCL8"	"CXCL8"	0	"AL035425.4"	"MKI67"	"CLSPN"	"KIF14"	"MELK"	"LINGO2"	"LINGO2"	"AC012603.1"	"SLC8A2"	"TSPAN2"	"RERG"	"ADH1B"	"MEOX2"	"TSPAN2"	"H3C8"	"BUB1B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLSPN"	"SERTM1"	"KIF14"	"KIF14"	0	"CAMK2A"	"MELK"	"TPSD1"	"KIF20A"	"KIF20A"	"GRIN1"	"LCN10"	"H1.5"	"SIX1"	"DLX4"	"PRAME"	"DEPDC1"	"NCAM1"	"KRT6B"	"SNTG2.AS1"	"UHRF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPSD1"	"KIF1A"	"KIF18B"	"KIF18B"	0	"ADRA1D"	"CAVIN2"	"MYBL2"	"KIF18B"	"KIF18B"	"SERTM2"	"SRPX"	"AL355075.4"	"BCHE"	"ASPM"	"OLFM1"	"CD300LG"	"CD300LG"	"CLEC3B"	"TCEAL2"	"LINC00858"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYBL2"	"KLF2"	"KIF20A"	"KIF20A"	0	"FGF10"	"BUB1"	"CHRDL1"	"CXCL8"	"UHRF1"	"HRCT1"	"SERTM2"	"CCBE1"	"KLF2"	"SLC22A3"	"FAM180A"	"LINC01833"	"MCM10"	"GALNT17"	"CPEB1"	"KIF14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRDL1"	"MIR205HG"	"SAA1"	"SAA1"	0	"CENPF"	"IQGAP3"	"SRPX"	"ELF5"	"ELF5"	"SLC38A5"	"AC053503.5"	"OGN"	"CDC25C"	"SIX1"	"TOP2A"	"H3C12"	"KIF20A"	"LINC01833"	"SAA1"	"DIAPH3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRPX"	"PITX1"	"ELF5"	"ELF5"	0	"CEP55"	"E2F2"	"KLHL4"	"UHRF1"	"CDC20"	"GPM6A"	"TOP2A"	"FGF7"	"PCP4"	"KRT6B"	"HTR1E"	"CAPN13"	"OVOL1"	"VIL1"	"TRH"	"SLC38A5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL4"	"LINC01016"	"TPX2"	"TPX2"	0	"CCBE1"	"CLSPN"	"MEOX2"	"UBE2C"	"UBE2C"	"RSPO1"	"TNFAIP8L3"	"SLC38A5"	"CPEB1"	"GPM6A"	"MEOX2"	"ELF5"	"PGM5.AS1"	"TCEAL7"	"NEK2"	"SIX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MEOX2"	"PGM5P4"	"UBE2C"	"UBE2C"	0	"OGN"	"MCM10"	"OGN"	"TPX2"	"TPX2"	"KLF17"	"GALNT17"	"ASPA"	"TRIM15"	"PTCHD1"	"LINC00702"	"H3C8"	"KLF2"	"UHRF1"	"VWC2"	"KCNMB2.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OGN"	"DIAPH3"	"PLN"	"PLN"	0	"KIF14"	"OGN"	"ACTA2"	"CDC20"	"BIRC5"	"SNTG2.AS1"	"AC004080.15"	"AL035425.4"	"AP001107.5"	"NECAB1"	"KIF4A"	"PEG3"	"TPX2"	"AC012603.1"	"TNFAIP8L3"	"MIR205HG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACTA2"	"CRHBP"	"HAND2"	"HAND2"	0	"CLSPN"	"NECAB1"	"ASPA"	"SAA1"	"HAND2"	"NECAB1"	"CASC9"	"POTEF"	"TCEAL7"	"PGM5P4"	"CXCL8"	"LEFTY2"	"LCN10"	"SRPX"	"SHISAL1"	"E2F2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASPA"	"AC010776.2"	"CDC20"	"CDC20"	0	"CPEB1"	"GPM6A"	"DLX4"	"HAND2"	"CRHR1"	"PEG3"	"C7"	"CXCL8"	"NAP1L2"	"VIL1"	"AL139351.1"	"MCM10"	"PODN"	"DLGAP5"	"FRMD6.AS2"	"BIRC5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX4"	"RBFOX3"	"DES"	"DES"	0	"MRGPRF"	"SLC1A7"	"SGCA"	"FGF7"	"PLN"	"ZNF300P1"	"SLC8A2"	"TMEM132C"	"KLHL4"	"LMOD1"	"BUB1"	"TERT"	"PTGER3"	"AL121796.1"	"KIF18B"	"UBE2C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SGCA"	"OVOL1"	"UHRF1"	"UHRF1"	0	"BUB1B"	"TCEAL2"	"NEIL3"	"BIRC5"	"CXCL8"	"CHRDL2"	"MYH11"	"LEFTY2"	"FGF7"	"LINC02310"	"E2F7"	"JPH4"	"UPK3BL1"	"CENPF"	"H1.5"	"PCDH20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
