"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"HES2"	"GFRA1"	"TNFAIP8L3"	"TNFAIP8L3"	0	"RSPO1"	"ASPA"	"CAMK2A"	"SCN7A"	"SETP2"	"MNX1"	"FXYD1"	"HSPB3"	"AC120498.10"	"LINGO2"	"ASB2"	"KRT23"	"ADRB3"	"AL031429.2"	"MNX1"	"HJURP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAMK2A"	"KCNB1"	"SLC2A4"	"SLC2A4"	0	"MCM10"	"HJURP"	"CDH19"	"MNX1"	"CRHBP"	"OGN"	"ZBTB16"	"CRHBP"	"LINC02310"	"LINC01489"	"AC053503.5"	"HSPB2"	"CLEC3B"	"SRPX"	"PTGER3"	"TRH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CDH19"	"AL355075.4"	"EHF"	"EHF"	0	"RPL24P2"	"PTGIS"	"WSCD2"	"ADGRV1"	"LINC02163"	"LINC01016"	"CASC9"	"AF001548.3"	"CCL14"	"CAPN13"	"MYL9"	"H2BC9"	"HSPB1P1"	"AC053503.3"	"FRMD7"	"MT.TF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"WSCD2"	"MKI67"	"MNX1"	"MNX1"	0	"GAS1RR"	"TOP2A"	"JPH4"	"FOXA1"	"LINC02613"	"H1.5"	"NPAS4"	"LINGO2"	"SEL1L2"	"AJ011932.1"	"WT1"	"PTGIS"	"TTC6"	"CD300LG"	"EHF"	"KCNB1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"JPH4"	"RADX"	"ADGRV1"	"ADGRV1"	0	"RPL41P5"	"RERG"	"ASB2"	"FRMD7"	"RDH10.AS1"	"MYH11"	"TFAP2A"	"ANXA13"	"AP003071.4"	"AC120498.8"	"NCAM1"	"MIR205HG"	"ADRA1D"	"AC027449.1"	"ADGRV1"	"RNY4P20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASB2"	"TFAP2A"	"FRMD7"	"FRMD7"	0	"HJURP"	"GPM6A"	"SEL1L2"	"EHF"	"EHF"	"POTEF"	"SEL1L2"	"AL353746.1"	"KCNMB1"	"BASP1P1"	"DGKB"	"ELF5"	"MIR300"	"ASXL3"	"RRM2"	"CDCA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SEL1L2"	"LINC02438"	"RRM2"	"RRM2"	0	"RPRM"	"MELK"	"MYL9"	"RRM2"	"NAP1L2"	"AC012603.1"	"CCL21"	"ACTG2"	"CCDC144NL.AS1"	"H3C7"	"AC005180.2"	"OGN"	"PLP1"	"ELF5"	"MELK"	"LGI3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYL9"	"MYOZ2"	"MELK"	"MELK"	0	"ADRA1D"	"CAVIN2"	"CHRDL1"	"MELK"	"AC087521.1"	"IGF2BP3"	"HSPB7"	"SLC8A2"	"AC136628.3"	"CA4"	"AL031429.2"	"GATA6"	"DPT"	"NECAB1"	"FOXA1"	"HSPB1P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRDL1"	"LINC00858"	"CA4"	"CA4"	0	"AL035425.4"	"RRM2"	"PAGE4"	"CA4"	"LINC00702"	"MEOX2"	"MYH11"	"CD300LG"	"TPSB2"	"PTGER3"	"PI16"	"PGM5.AS1"	"BCHE"	"LINC01016"	"CA4"	"MIR300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PAGE4"	"VWC2"	"ELF5"	"ELF5"	0	"PGM5P4"	"RPRM"	"SRPX"	"ELF5"	"PRAME"	"PRAME"	"AC005180.1"	"AC013553.3"	"DES"	"SLC8A2"	"FAR2P1"	"KCNMB1"	"ZCCHC12"	"CCL14"	"ELF5"	"DIRAS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRPX"	"AC087521.1"	"PLN"	"PLN"	0	"AF001548.1"	"TCEAL2"	"KLHL4"	"GATA6"	"WT1.AS"	"RERG"	"AL031429.2"	"PGM5.AS1"	"LINC01489"	"MIR221"	"ADH1B"	"SETP2"	"SEL1L2"	"CRHBP"	"PRAME"	"LINC02163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL4"	"MCM10"	"DES"	"DES"	0	"TOP2A"	"CPEB1"	"HTR2A"	"DES"	"RTL3"	"CHRDL2"	"AL022718.1"	"RTL3"	"CPEB1"	"LINC00858"	"FAM180A"	"H3C7"	"AC005180.1"	"KLHL38"	"GATA6"	"H3C7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HTR2A"	"MAS1"	"AQP5"	"AQP5"	0	"SLITRK3"	"GAS1RR"	"ANXA13"	"AGTR1"	"GFRA1"	"DPT"	"WT1.AS"	"HAPLN2"	"CCL21"	"AL139351.1"	"AL355075.4"	"MKI67"	"AC025154.2"	"LINC02613"	"AGTR1"	"PITX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ANXA13"	"GATA6"	"GATA6"	"GATA6"	0	"GPIHBP1"	"AC005180.2"	"MEOX2"	"PLN"	"MT.TF"	"OVOL1"	"PRAME"	"KLHL4"	"SAPCD2"	"TMPRSS13"	"MEOX2"	"NCAM1"	"DIRAS1"	"DCAF12L1"	"PLN"	"CAVIN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MEOX2"	"RPRM"	"AGTR1"	"AGTR1"	0	"ASPA"	"SLITRK3"	"OGN"	"PRAME"	"PENK"	"SETP2"	"C3orf70"	"SCN7A"	"HTR1E"	"GFRA1"	"CPEB1"	"AP001107.5"	"SHISAL1"	"AC016877.3"	"ADRB3"	"AC012603.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OGN"	"MIR205HG"	"HOXB13"	"HOXB13"	0	"CDCA2"	"SLC1A7"	"ACTA2"	"TFAP2A"	"IGF2BP3"	"CERS3.AS1"	"ACTG2"	"AJ011932.1"	"CDCA2"	"OVOL1"	"LCN6"	"LINC01489"	"CDCA2"	"AC136628.3"	"MYOCD"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACTA2"	"ASPA"	"TFAP2A"	"TFAP2A"	0	"RRM2"	"DIAPH3"	"NEURL1"	"AQP5"	"DGKB"	"TSPAN2"	"RNF183"	"GPM6A"	"POTEF"	"SERTM2"	"CCL14"	"CCL14"	"AC106820.1"	"CADM3"	"CLEC3B"	"ADRA1D"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NEURL1"	"CRHBP"	"PRAME"	"PRAME"	0	"KCNB1"	"CDCA2"	"KRT23"	"MYOCD"	"HJURP"	"TCEAL2"	"HAPLN2"	"IQANK1"	"LINC01016"	"WSCD2"	"MELK"	"SLC1A7"	"MIR487B"	"MIR3612"	"CRHR1"	"BASP1P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT23"	"ASPM"	"MYOCD"	"MYOCD"	0	"WT1.AS"	"MYL9"	"ASPA"	"ADRB3"	"RERG"	"SCN7A"	"AC053503.3"	"PTGER3"	"KLF2"	"MYOCD"	"RIC3"	"AC100793.4"	"DES"	"AC012603.1"	"CPEB1"	"PCDH20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASPA"	"CTSV"	"CRHR1"	"CRHR1"	0	"TNFAIP8L3"	"KLHL4"	"SGCA"	"CRHR1"	"RPL24P2"	"LEFTY2"	"VWC2"	"FOXP2"	"GAS1RR"	"KLHL4"	"KLF17"	"DIAPH3"	"C11orf96"	"TNFAIP8L3"	"DES"	"DIAPH3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
