"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RXRG"	"FIBCD1"	"QPCT"	"HMGA2"	0.0345621561800631	"SYTL5"	"CSF2"	"BRINP1"	"SYT12"	"GJB3"	"ACTBL2"	"AVPR1A"	"ASPHD1"	"IGHE"	"EPHB3"	"SPTBN2"	"Z73417.1"	"MUC21"	"XKRX"	"AC011270.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC02454"
"SYT12"	"RADIL"	"SYTL5"	"GJB3"	0.0296420581163615	"CDH6"	"FAXC"	"DUSP13"	"CSF2"	"HMGA2"	"LINC02408"	"OR4D10"	"DGKI"	"CHRDL1"	"AC244502.1"	"MRC2"	"AC092954.1"	"BEX1"	"HNRNPA1P27"	"SLC4A4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDH6"
"NECTIN4"	"COLEC12"	"ABCC3"	"SOX11"	0.0273147752815683	"KCNQ3"	"LRRC52.AS1"	"SLC4A4"	"PPY"	"CLDN1"	"PGA5"	"PRSS2"	"SEMA3D"	"EGFEM1P"	"RBM24"	"CUX2"	"KIAA1324"	"CDH16"	"LINC01878"	"CATSPER1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC006305.2"
"CDH16"	"KRT15"	"PRR15"	"ZCCHC12"	0.0278475958480612	"SHROOM4"	"LIPH"	"MIOX"	"GJB3"	"SYT12"	"AL355312.4"	"RPSAP52"	"GABRB2"	"PROS1"	"SMIM32"	"LINC02232"	"NWD2"	"KRT85"	"LCN2"	"EGFEM1P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TFF2"
"LPAR5"	"TFF2"	"MLNR"	"CLDN1"	0.0239916977141098	"CSF2"	"FN1"	"RASD2"	"CLDN1"	"CITED1"	"LRP1B"	"LIPH"	"LIPH"	"STRA6"	"TBX22"	"AC063926.3"	"AC135584.1"	"ARHGAP36"	"SYT9"	"GRHL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C7"
"SLC22A31"	"CAPN6"	"RXRG"	"QPCT"	0.0200101419108798	"QRFPR"	"UNC5B.AS1"	"BIRC7"	"SOX11"	"TMPRSS4"	"BMP8A"	"BEX1"	"ADGRV1"	"AL035425.2"	"IL36RN"	"KCNQ3"	"AC254633.1"	"PSG1"	"ADGRV1"	"RASGRF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PAX1"
"SYTL5"	"KCNQ3"	"ZCCHC12"	"PKHD1L1"	0.020491183398964	"DCLK3"	"NECTIN4"	"NOL4"	"SHROOM4"	"CRABP1"	"CHRDL1"	"CITED1"	"ASPG"	"AC006262.1"	"SYT12"	"NMU"	"SSTR3"	"GABRB2"	"LINC02454"	"ART2P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUX2"
"MPPED2"	"KCNJ2"	"GJB3"	"TMPRSS4"	0.0197334665539737	"CDH3"	"SCEL"	"CHRDL1"	"DCN"	"MYOC"	"ARMC3"	"HPSE2"	"AC026116.1"	"PGA5"	"TMEM130"	"KIAA1324"	"C1orf158"	"AC062015.1"	"SOX11"	"GPR142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TFF3"
"ABCC3"	"SCEL"	"AL157414.3"	"CITED1"	0.0175496227377596	"PLEKHN1"	"ESPN"	"MLNR"	"KCNQ3"	"ZCCHC12"	"CLDN16"	"AC254633.1"	"FAM178B"	"SMIM32"	"DRAXIN"	"GLDC"	"IGFBPL1"	"FAXC"	"TCEAL6"	"CWH43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COLEC12"
"PRR15"	"CHRDL1"	"TFF3"	"RXRG"	0.0163746814026108	"FAXC"	"GJB3"	"STMN2"	"RAG2"	"NECTIN4"	"ADAMTS14"	"PPP1R1B"	"ART2P"	"MPPED2.AS1"	"SEMA3D"	"AC011298.1"	"EPHA5.AS1"	"AC006262.1"	"SRARP"	"AC006262.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C1R"
"MLNR"	"STRA6"	"RTL4"	"CRABP1"	0.016	"METTL7B"	"EPHB3"	"ICAM5"	"TMPRSS4"	"CDH6"	"TCEAL6"	"PROS1"	"TCEAL2"	"FER1L6"	"WSCD2"	"AL157414.3"	"TFF3"	"RUNX1"	"CITED1"	"RBM24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"REN"
"NGEF"	"ABCC3"	"NGEF"	"SYT12"	0.0152057785536315	"FIBCD1"	"MPPED2"	"PDE4C"	"CDH16"	"PKHD1L1"	"PCAT14"	"LRP1B"	"MPPED2.AS1"	"MYOC"	"LINC02454"	"ADCY8"	"PGA5"	"MIR146B"	"LINC02232"	"LINC01672"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TIAM1"
"CDH6"	"UNC5B.AS1"	"FN1"	"NECTIN4"	0.014627126965643	"STRA6"	"LINC02408"	"ABCC3"	"NECTIN4"	"SOX11"	"TDRD9"	"NWD2"	"PKNOX2"	"CT75"	"ARHGAP36"	"BIRC7"	"PTPRQ"	"IGHE"	"TFF2"	"TNRC6C.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MFAP4"
"SCEL"	"APOD"	"PPP1R1B"	"NCAM1"	0.0137032794051066	"AL355312.4"	"SPTBN2"	"PPY"	"MRO"	"NCAM1"	"TBX22"	"MUC21"	"CSF2"	"KCNJ2"	"RYR1"	"SCEL"	"CDH3"	"PGA5"	"NWD2"	"MAPK4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HMGA2"
"MRC2"	"ESPN"	"SCEL"	"SLC22A31"	0.0134864039801436	"SLC22A31"	"KCNJ2"	"CWH43"	"CDH3"	"STRA6"	"SLC4A4"	"IGSF1"	"ASXL3"	"LINC02560"	"AC011270.2"	"SOX11"	"TMPRSS4"	"KIAA1324"	"AC078842.2"	"SCEL"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C1S"
"KCNQ3"	"LINC01614"	"MYOC"	"CDH16"	0.0120287184117928	"PROS1"	"RUNX1"	"ODAM"	"PLEKHN1"	"RXRG"	"AC063926.3"	"GABRB2"	"IGFL2"	"AC026116.1"	"NECTIN4"	"IGFBPL1"	"AC244502.3"	"DGKI"	"MUC21"	"KCNJ2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RAG2"
"AL157414.3"	"ASPHD1"	"TMPRSS4"	"METTL7B"	0.010803959598937	"PLCD3"	"GALE"	"NMU"	"MIOX"	"SHROOM4"	"RIMS2"	"IL36RN"	"AC244502.1"	"KIF19"	"PDGFRA"	"MYOC"	"IL36RN"	"AC002511.1"	"PAX1"	"PKHD1L1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RXRG"
"RTL4"	"AL355312.4"	"HCN4"	"CDH3"	0.0106313908248546	"TMEM92"	"FIBCD1"	"CUX2"	"RXRG"	"CDH16"	"CWH43"	"AC011944.1"	"NMU"	"TRPC5"	"MYOC"	"ART2P"	"TMEM130"	"PLEKHN1"	"KRT89P"	"PAX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC092954.1"
