"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"RXRG"	"EPHA5.AS1"	"METTL7B"	"LIPH"	0.0331796699328606	"CHRM3"	"AL355312.4"	"MYOC"	"ITGA2"	"TFF3"	"KRT85"	"PROS1"	"C1S"	"DRAXIN"	"GABRB2"	"MPPED2"	"HMGA2.AS1"	"HTR1E"	"ASPHD1"	"AC011298.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDH6"
"RAP1GAP"	"MMP11"	"STRA6"	"TFF3"	0.0303209939911784	"CSF2"	"HRH1"	"COL23A1"	"EPHB3"	"GJB3"	"CATSPER1"	"RASGRF1"	"AC092954.1"	"CFAP47"	"CCL21"	"IPCEF1"	"PPY"	"TFF2"	"AP000802.1"	"RETN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GRHL3"
"SYT12"	"NOS1"	"DPP4"	"GJB3"	0.0302232749421725	"APOD"	"LIPH"	"RASGRF1"	"SLC26A4"	"DPT"	"C1orf158"	"LINC01614"	"Z73417.1"	"SLC43A3"	"MRO"	"HMGA2.AS1"	"AC025419.1"	"AC007406.3"	"CST5"	"NWD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC02454"
"TCIM"	"HRH1"	"QPCT"	"HMGA2"	0.0278868796707969	"HRH1"	"ACTBL2"	"CDH3"	"GJB3"	"LIPH"	"DRAXIN"	"SIGLEC15"	"AC007406.3"	"AC244502.1"	"AJ011932.1"	"GJB3"	"CLDN16"	"HNRNPA1P27"	"AC090505.1"	"CWH43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FNDC4"
"NECTIN4"	"AL157714.1"	"SYTL5"	"ZCCHC12"	0.0280735190393896	"SCARA5"	"SLC26A7"	"CCN5"	"GRHL3"	"HMGA2"	"AC006305.2"	"TMEM130"	"CHRM3"	"ZCCHC12"	"DMBX1"	"CCN5"	"RGS8"	"LINC02082"	"ESM1"	"IGHEP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NGEF"
"LPAR5"	"CCL21"	"ABCC3"	"QPCT"	0.0232215938368668	"ITGA2"	"GJB3"	"ATP2C2"	"SHROOM4"	"CLDN1"	"C1R"	"RPS29P11"	"CDH6"	"AC092954.1"	"SIGLEC15"	"EGFEM1P"	"SPTBN2"	"SYN1"	"AC025419.1"	"LRRC52.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FBLN1"
"MPPED2"	"LPAR5"	"PRR15"	"CLDN1"	0.0192759365834683	"SHROOM4"	"ABTB2"	"NGEF"	"CSF2"	"MYOC"	"MFAP5"	"ALDH3B1"	"OMD"	"KIAA1755"	"MFAP4"	"SLC5A7"	"AL157414.3"	"HPSE2"	"FUT3"	"CSF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COLEC12"
"SYTL5"	"LINC01672"	"MLNR"	"DPT"	0.0171764331432493	"RPS29P11"	"RIN1"	"MPPED2"	"KCNQ3"	"MMP11"	"KCNQ3"	"KCNJ2"	"CPNE4"	"BMP8A"	"TRPM5"	"DEPTOR"	"LINC01878"	"SLC26A4"	"PPP1R1B"	"WSCD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NOS1"
"MLNR"	"KCNQ3"	"RXRG"	"RXRG"	0.016	"PLEKHN1"	"UNC5B.AS1"	"HES2"	"DCN"	"ZCCHC12"	"AC244502.1"	"NOS1"	"ARMC3"	"XKRX"	"NOL4"	"HES2"	"KRT27"	"LIPH"	"MAMLD1"	"HCN4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GABRB2"
"SLC22A31"	"AJ011932.1"	"ZCCHC12"	"TMPRSS4"	0.0193957954487036	"COLEC12"	"FAXC"	"TRPM5"	"PPY"	"ESM1"	"ADAMTS14"	"LINC02408"	"SYT9"	"MLNR"	"PLEKHN1"	"PRSS2"	"NWD1"	"KRT27"	"PSG1"	"ADGRV1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDH3"
"ABCC3"	"QRFPR"	"ESM1"	"SYT12"	0.0197433255799795	"OMD"	"MAMLD1"	"TRPC5"	"NECTIN4"	"TMPRSS4"	"CWH43"	"FAM43A"	"MRO"	"RASD2"	"DCLK3"	"LINC01672"	"CLPSL2"	"QPCT"	"ALDH3B1"	"MUC21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SCARA5"
"PRR15"	"HMGA2"	"GJB3"	"NECTIN4"	0.0184215165779372	"MYOC"	"MMP11"	"IPCEF1"	"TMPRSS4"	"SYT12"	"TFF3"	"C1QL1"	"RASGRF1"	"QPCT"	"GRM4"	"XKRX"	"AC092954.1"	"AL355512.1"	"Z73417.1"	"AC080038.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RXRG"
"MAMLD1"	"ESM1"	"AL157414.3"	"NCAM1"	0.0167467255613913	"MFAP4"	"NECTIN4"	"WSCD2"	"SYT12"	"CCL21"	"LRRC52.AS1"	"CD164L2"	"SLC25A48"	"LINGO2"	"MMP11"	"KRT89P"	"DRAXIN"	"AP000757.1"	"FNDC4"	"FAM43A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"METTL7B"
"CDH6"	"ACTBL2"	"TFF3"	"HOXA11"	0.0142589384150204	"RIN1"	"DPT"	"RAP1GAP"	"RAG2"	"QPCT"	"CDH3"	"SLC6A20"	"IGHEP1"	"AC090197.1"	"AC092954.1"	"LINC02560"	"LINC01170"	"KIAA1755"	"DMBX1"	"AL359853.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KCNQ3"
"MRC2"	"APOD"	"RTL4"	"SLC22A31"	0.0133630527242276	"PROS1"	"KCNJ2"	"FBLN1"	"PLEKHN1"	"ITGA2"	"MYOC"	"HPSE2"	"AC002401.4"	"SYT12"	"ESM1"	"C14orf180"	"NGEF"	"SEMA3D"	"ADAMTS14"	"SYN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DCN"
"NGEF"	"DEPTOR"	"NGEF"	"RAP1GAP"	0.0125903846424069	"SYT12"	"ATP2C2"	"DUSP13"	"CDH6"	"NECTIN4"	"GOLT1A"	"APOD"	"RADIL"	"MPPED2.AS1"	"IP6K3"	"SERPINF1"	"NCAM1"	"CCL21"	"TIMM8AP1"	"AC026116.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PDE4C"
"IPCEF1"	"KCNJ2"	"PPP1R1B"	"METTL7B"	0.0120900265153302	"HCN4"	"PLCD3"	"PHACTR3"	"CLDN1"	"CDH6"	"PTGDS"	"SERPINF1"	"TRPM5"	"PDE4C"	"FAM163A"	"OMD"	"SLC26A7"	"LRRC52.AS1"	"AKR1E2"	"AP000802.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PODN"
"SCEL"	"FIBCD1"	"SCEL"	"TCIM"	0.0131111623937749	"MET"	"MPPED2"	"NOS1"	"SERPINF1"	"NCAM1"	"PLCD3"	"COL23A1"	"LINC01878"	"SPTBN2"	"PCAT14"	"TFF2"	"AL035425.2"	"TCIM"	"NMU"	"KRT89P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"QRFPR"
"AL157414.3"	"DMBX1"	"MYOC"	"STRA6"	0.0121544545488041	"NGEF"	"DPP4"	"SLC26A4"	"RXRG"	"RXRG"	"NGEF"	"EGFEM1P"	"HCN4"	"AC011944.1"	"RYR1"	"LINGO2"	"DMD"	"PCDHAC2"	"ADGRV1"	"FBXW10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TFF3"
"KCNQ3"	"COLEC12"	"TMPRSS4"	"SYTL5"	0.0126923718414089	"IPCEF1"	"SYT12"	"MMP11"	"DUSP6"	"KCNQ3"	"TUSC3"	"Z73417.1"	"GRM4"	"MFAP5"	"SLC26A4"	"TMEM130"	"MRO"	"HAP1"	"TFF1"	"PRR15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MRC2"
