"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"FN1"	"LINC01977"	"GPC3"	"GPC3"	0.795675551860223	"GPC3"	"RYR2"	"FGF10"	"DPP4"	"KCNN4"	"OCA2"	"C2CD4A"	"MAN1A2P1"	"SH2D6"	"RTL4"	"LINC01977"	"FUT3"	"SCARA5"	"EDN3"	"LRP1B"	"FGF10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EPHA10"	"HAGLROS"	"ETV4"	"HMGA2"	0.782828282828283	"ATP2C2"	"PLEKHN1"	"SLC6A15"	"DIO1"	"SYTL5"	"AC026116.1"	"SYT12"	"PDZK1IP1"	"FOXA2"	"HAGLROS"	"TSPAN19"	"LINC02454"	"WARS1P1"	"CST5"	"DPP4"	"SCARA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC26A4"	"LYVE1"	"MUC21"	"FN1"	0.739444444444444	"HAGLROS"	"HAGLROS"	"TRPC5"	"ETV4"	"FN1"	"QPCT"	"LINC02232"	"PAX1"	"VTCN1"	"LINC02560"	"COL13A1"	"LIPH"	"TMEM139"	"GRIN2C"	"TPO"	"TUSC3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPP4"	"COL13A1"	"IRS4"	"DPP4"	0.730304731445433	"LRRN4CL"	"HAPLN1"	"IPCEF1"	"KCNQ3"	"KCTD16"	"AC010857.1"	"C7"	"INAVA"	"GABRB2"	"CLDN10"	"ZCCHC12"	"LINC02560"	"C2CD4A"	"SEMA3D"	"FN1"	"IPCEF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADCY8"	"UNC5B.AS1"	"KCNQ3"	"ADCY8"	0.716428977105562	"TNNT3"	"CHRDL1"	"WSCD2"	"TFF3"	"TFF2"	"STK32A.AS1"	"AC092954.1"	"IGFBPL1"	"TMEM163"	"CWH43"	"AC104137.1"	"TFF2"	"MARCHF4"	"KCNN4"	"GDF15"	"LRP4.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPO"	"KLK4"	"HMGA2"	"EPHA10"	0.713666666666667	"PLEKHN1"	"SLC26A7"	"CACNG4"	"FN1"	"COL13A1"	"KCNJ2"	"LIPH"	"RNU5F.1"	"SYNDIG1L"	"AC148477.2"	"KLK2"	"ASXL3"	"AP002358.2"	"SERPINA5"	"TFF2"	"GRHL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ETV4"	"IGSF10"	"FN1"	"MUC21"	0.6591796875	"PLA2R1"	"DPT"	"CEACAM6"	"CSF2"	"NWD2"	"KCNN4"	"LINC01977"	"HAGLROS"	"REN"	"LIPH"	"SLC6A20"	"TIMM8AP1"	"MRO"	"ARHGAP36"	"MAPK4"	"PLA2R1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC34A2"	"GABRD"	"ADCY8"	"SSTR3"	0.619252450980392	"SLC6A15"	"PLA2R1"	"TMPRSS11E"	"ADCY8"	"SCARA5"	"FOXJ1"	"SEC14L3"	"KLK6"	"NGEF"	"LINC01975"	"SCEL"	"FOXA2"	"LCN2"	"ODAM"	"CDH16"	"DPP4.DT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GDF15"	"DES"	"SSTR3"	"KCNQ3"	0.561642638888889	"DPT"	"GABRD"	"SLC26A4"	"STAB2"	"SNORD3A"	"AC148477.2"	"MAN1A2P1"	"VIT"	"SLC5A5"	"THRSP"	"AC011298.1"	"LINC02082"	"AC011270.2"	"FAM178B"	"KCNQ3"	"LRP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLK2"	"GPR142"	"NGEF"	"GDF15"	0.534120964912281	"SCARA5"	"LRP4.AS1"	"SEC14L3"	"EPHA10"	"GAP43"	"TFF1"	"KLK10"	"IRS4"	"PCSK1N"	"DES"	"TMEM163"	"CHI3L1"	"AC104137.1"	"TMEM163"	"SLC26A4"	"SLIT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LRRK2"	"ZNF804B"	"GRM4"	"KLK2"	0.527222222222222	"STAB2"	"AL355312.4"	"PNPLA5"	"KLK2"	"LINC02555"	"PTCHD4"	"HPCAL4"	"LIPI"	"LRRK2.DT"	"PLEKHN1"	"UTS2R"	"CACNG4"	"AC098476.1"	"KCNJ2"	"PLEKHN1"	"ARHGAP36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ2"	"TNNT3"	"CUX2"	"FOXA2"	0.498403039552206	"PTCHD4"	"LRP1B"	"UPK3A"	"GDF15"	"RNVU1.6"	"MAN1A2P1"	"IPCEF1"	"AC148477.2"	"AL391845.2"	"CUX2"	"LRRN4CL"	"SLC22A31"	"SEMA3D"	"STRA6"	"STAB2"	"PTCHD4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF3"	"GRHL3"	"DPP4"	"ETV4"	0.476446280991736	"OIT3"	"LRP4"	"BIRC7"	"METTL7B"	"RXRG"	"TBX22"	"TBX22"	"GABRD"	"TBX22"	"LINC02232"	"KLK6"	"KLK4"	"CDH16"	"LCN2"	"TFF1"	"METTL7B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SSTR3"	"TMEM139"	"KCNJ2"	"GRM4"	0.461126207729469	"FAM180B"	"PTCHD4"	"CHRNA4"	"CDH16"	"MLNR"	"MLNR"	"ST6GALNAC5"	"MT1H"	"SSTR3"	"SELENOV"	"ATP2C2"	"KCNJ2"	"MASP1"	"GOLT1A"	"NGEF"	"SLC6A15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NGEF"	"AGR2"	"ELFN2"	"CUX2"	0.435369818876374	"CDH3"	"SYNDIG1L"	"NOL4"	"GRM4"	"SCEL"	"DRAXIN"	"AP002358.1"	"TCEAL5"	"STAB2"	"KLK7"	"PLA2G12B"	"RYR2"	"AC244502.3"	"FN1"	"FGF10"	"CDH16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FOXA2"	"MYOC"	"TMPRSS6"	"LRRK2"	0.41875	"CHRDL1"	"OIT3"	"CHRDL1"	"LRRK2"	"ESPN"	"AC011298.1"	"PTPRQ"	"IVL"	"AC011298.1"	"KLK2"	"NWD1"	"MFAP4"	"RYR2"	"RELN"	"IGSF1"	"OIT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CDH16"	"CDH3"	"METTL7B"	"CSF2"	0.413461538461538	"LYVE1"	"MMRN1"	"PCSK1N"	"FOXA2"	"CDH4"	"Z93241.1"	"SLC6A20"	"CDH16"	"IL36RN"	"TMEM215"	"ADCY8"	"TFF1"	"SEC14L3"	"KLK11"	"ADIPOQ"	"AL391845.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STRA6"	"SEC14L3"	"FOXA2"	"TFF3"	0.416666666666667	"MMRN1"	"LRRN4CL"	"VGLL1"	"KCNJ2"	"MASP1"	"FER1L6"	"Z93241.1"	"NOL4"	"SRARP"	"SSTR3"	"LINGO2"	"GOLT1A"	"PNPLA5"	"AL355312.4"	"LRRK2"	"LRRK2.DT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GRM4"	"GPC3"	"STAB2"	"NGEF"	0.401716820987655	"ETV4"	"STAB2"	"MLNR"	"SLC34A2"	"TENM1"	"CDH3"	"IGSF10"	"DPP6"	"DCN"	"HCN4"	"GRM4"	"KLHDC8A"	"XKRX"	"MFAP4"	"KLK2"	"LINC02471"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CUX2"	"TCEAL5"	"SEC14L3"	"KCNJ2"	0.390981996246775	"CCL21"	"FAM180B"	"OCA2"	"TFF2"	"LIPH"	"ADIPOQ"	"CLDN16"	"B3GNT3"	"CLDN10"	"GFRA1"	"MARCHF4"	"KLK7"	"STAB2"	"AOX1"	"MLNR"	"NWD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
