"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ADCY8"	"GPC3"	"MUC21"	"ADCY8"	0.735259143238932	"TNNT3"	"ETV4"	"WSCD2"	"TFF3"	"DIO1"	"PAX1"	"CWH43"	"LRRC52.AS1"	"AC135584.1"	"SLC25A47P1"	"GPC3"	"LRRK2.DT"	"TFF1"	"AGR2"	"FUT3"	"KCTD16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPP4"	"LINC01977"	"KCNQ3"	"DPP4"	0.727044242876603	"FGF10"	"KCNQ3"	"CACNG4"	"KCNQ3"	"ETV4"	"WARS1P1"	"KRT15"	"LRRK2.DT"	"LINC02555"	"NWD2"	"TFF2"	"ZNF536"	"PLA2G12B"	"AC011298.1"	"ODAM"	"GRHL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC34A2"	"OIT3"	"HMGA2"	"MUC21"	0.662151388888889	"LYVE1"	"PLEKHN1"	"CEACAM6"	"METTL7B"	"TFF3"	"OR4D10"	"LCN2"	"TMEM132D"	"ACTBL2"	"SLC34A2"	"MMRN1"	"CUX2"	"FAM180B"	"NGEF"	"HAGLROS"	"HAPLN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EPHA10"	"HCN4"	"FN1"	"EPHA10"	0.605769230769231	"UNC5B.AS1"	"LINC02471"	"TMPRSS11E"	"IGSF1"	"ADCY8"	"Z93241.1"	"CST2"	"PAX1"	"B3GNT3"	"RELN"	"AC141930.1"	"MISP"	"PPP1R1B"	"DMBX1"	"CHRNA4"	"TCEAL5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ETV4"	"LYVE1"	"ADCY8"	"KCNQ3"	0.561755952380952	"RYR2"	"AL391845.2"	"MISP"	"TFF2"	"EPHA10"	"SLC6A15"	"MROH2A"	"DPP4.DT"	"LYVE1"	"HAPLN1"	"FER1L6"	"AOX1"	"XKRX"	"SYTL5"	"EPHA10"	"SEC14L3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CUX2"	"FGF10"	"SSTR3"	"SSTR3"	0.537527840765936	"HCN4"	"FGF10"	"SEC14L3"	"DIO1"	"CSF2"	"FOXJ1"	"TCEAL5"	"AC244502.3"	"AC141930.1"	"TPO"	"RASGRF1"	"Z93241.1"	"CRABP1"	"Z93241.1"	"RELN"	"KCNA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LRRK2"	"STK32A.AS1"	"NGEF"	"CSF2"	0.519097222222222	"MMRN1"	"SLC6A15"	"PNPLA5"	"STRA6"	"CDH16"	"SLC22A31"	"ACTBL2"	"IPCEF1"	"VIT"	"GAP43"	"CPNE4"	"CLDN16"	"FAM178B"	"SLC5A5"	"TFF1"	"LIPH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MUC21"	"AGR2"	"GRM4"	"LRRK2"	0.506315971253821	"FAM180B"	"CHRDL1"	"CHRNA4"	"CDH16"	"LRRK2"	"SLC5A8"	"RYR2"	"KCTD16"	"KLK12"	"STXBP5L"	"ST6GALNAC5"	"NWD2"	"C6"	"FGF10"	"TMPRSS4"	"DPT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SSTR3"	"KCTD16"	"CUX2"	"CUX2"	0.474537037037037	"HAGLROS"	"TNNT3"	"NOL4"	"PLEKHN1"	"SLC34A2"	"SLIT1"	"GAP43"	"TMPRSS4"	"GRHL3"	"CDH16"	"HPCAL4"	"ZMAT4"	"SYTL5"	"HCN4"	"STRA6"	"SLC6A15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF3"	"HAPLN1"	"DPP4"	"ETV4"	0.46749226006192	"PTCHD4"	"AOX1"	"CHRDL1"	"LRRK2"	"STRA6"	"SNORD3A"	"ST6GALNAC5"	"LCN2"	"DMBX1"	"KRT15"	"CLDN16"	"MAN1A2P1"	"RXRG"	"RPS29P11"	"FGF10"	"RYR2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCSK2"	"TNNT3"	"TMPRSS6"	"GRM4"	0.444003309631005	"KCNQ3"	"MMRN1"	"PCSK1N"	"MAPK4"	"TFF2"	"HAPLN1"	"DIO1"	"AL355312.4"	"LCN2"	"PKHD1L1"	"AC012038.2"	"PAX1"	"HPCAL4"	"KLK10"	"HCN4"	"KCNQ3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GRM4"	"CLDN16"	"METTL7B"	"TFF3"	0.438850308641976	"CCL21"	"IGSF10"	"OCA2"	"NGEF"	"MAPK4"	"RELN"	"SNORD3A"	"PRSS1"	"ADH1B"	"TMEM215"	"LRRC52.AS1"	"TMPRSS6"	"LINC02555"	"IGFN1"	"MAN1A2P1"	"TFF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNQ3"	"Z93241.1"	"STAB2"	"NGEF"	0.415798611111111	"VIT"	"CDH16"	"SLC5A5"	"ADIPOQ"	"STAB2"	"PCSK1N"	"LINC02408"	"ODAM"	"EPHA5"	"LRRC52.AS1"	"RXRG"	"IGFN1"	"HNRNPA1P27"	"DIO1"	"IGSF10"	"HCN4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NGEF"	"OCA2"	"SEC14L3"	"PCSK2"	0.389399092659614	"ADH1B"	"SCARA5"	"AGR2"	"TFF1"	"METTL7B"	"CST2"	"RXRG"	"PTCHD4"	"LIPI"	"VIT"	"IPCEF1"	"FN1"	"WARS1P1"	"UNC5B.AS1"	"CEACAM6"	"IGSF10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CDH16"	"MMRN1"	"LRRK2"	"CDH16"	0.385416666666667	"LRRN4CL"	"LRRN4CL"	"OGN"	"FGF10"	"SEC14L3"	"HAGLROS"	"GOLT1A"	"AC062015.1"	"TMPRSS4"	"ACTBL2"	"CHRNA4"	"HPCAL4"	"AC012038.2"	"CLDN10"	"CLDN10"	"PLEKHN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STRA6"	"GABRB2"	"PCSK2"	"MAPK4"	0.371875	"OIT3"	"FAM180B"	"CWH43"	"ADCY8"	"GRM4"	"CLDN16"	"STRA6"	"IGSF10"	"HAGLROS"	"AC011298.1"	"TMEM92"	"B4GALNT2"	"RPSAP52"	"KLK7"	"TENM1"	"RXRG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MAPK4"	"AC244502.3"	"STRA6"	"METTL7B"	0.362205128205128	"KCNA1"	"TCEAL5"	"ODAM"	"SYT12"	"NGEF"	"LIPI"	"B3GNT3"	"IGHE"	"OCA2"	"LRRK2"	"LINC02555"	"CST2"	"MT1H"	"GJB3"	"TMPRSS6"	"FAM180B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"METTL7B"	"RELN"	"IGFN1"	"STRA6"	0.355401234567901	"MYOC"	"VIT"	"NMU"	"SEMA3D"	"SLIT1"	"IGFL2"	"BMP8A"	"GPR142"	"SEMA3D"	"FIBCD1"	"SLC34A2"	"SLC25A47P1"	"AC026116.1"	"ADH1B"	"KLK6"	"CCL21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF2"	"FIBCD1"	"B3GNT3"	"TFF1"	0.34375	"CLDN16"	"STRA6"	"CUX2"	"STAB2"	"TNNT3"	"AC026116.1"	"TMEM132D"	"HNRNPA1P27"	"SLC25A47P1"	"OGN"	"EPHA5"	"OR4D10"	"PCSK1N"	"ZCCHC12"	"FN1"	"STAB2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SYT12"	"MAN1A2P1"	"PLEKHN1"	"TFF2"	0.344150718390805	"HAPLN1"	"HAPLN1"	"KCNA1"	"RXRG"	"SSTR3"	"GPC3"	"TENM1"	"SRARP"	"IVL"	"RGS8"	"OIT3"	"SERPINA1"	"SNORD3A"	"SLC22A31"	"FAM178B"	"GABRB2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
