"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"MT1M"	"IGF2"	"QPCT"	"GJB3"	0.0368226568502351	"DCLK3"	"MMP11"	"CA12"	"ITGA2"	"DPT"	"TRPM3"	"AC011298.1"	"TRPC5"	"AC098476.1"	"TFF3"	"PKNOX2"	"FAIM2"	"SLC5A8"	"FN1"	"PPARGC1A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CST5"
"SYT12"	"AL355312.4"	"SYTL5"	"HMGA2"	0.034001184309944	"KIAA1755"	"PLCD3"	"WSCD2"	"GRHL3"	"SLC5A8"	"FOXJ1"	"SCEL"	"WDR72"	"PKNOX2"	"SOWAHCP5"	"VSTM2L"	"MPPED2"	"DACH2"	"TNRC6C.AS1"	"DPP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DPP4"
"NECTIN4"	"SLC43A3"	"PIWIL1"	"LAMB3"	0.0325753986691295	"LRRC15"	"ACTBL2"	"CAPN6"	"SLC26A4"	"GJB3"	"AVPR1A"	"KLK11"	"MMP11"	"CDH6"	"EGFEM1P"	"PIWIL1"	"SLC6A20"	"STXBP5L"	"AC063926.3"	"IL36RN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC006305.2"
"TCIM"	"KCNJ2"	"RXRG"	"CLDN1"	0.0304468080780771	"OGN"	"TFF3"	"SLC4A4"	"CSF2"	"ESM1"	"TIMM8AP1"	"NWD1"	"AC254633.1"	"C1S"	"SPOCD1"	"BANF2"	"RYR1"	"MRO"	"SYT9"	"AC025580.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SCEL"
"SLC22A31"	"TFF3"	"ESM1"	"QPCT"	0.028347701040413	"WARS1P1"	"MET"	"TRPM3"	"CLDN1"	"LIPH"	"FAIM2"	"MMP16"	"CDSN"	"TDRD9"	"TIMM8AP1"	"FN1"	"OMD"	"FOXJ1"	"TFCP2L1"	"WSCD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ITGA2"
"SYTL5"	"DCLK3"	"GJB3"	"DPT"	0.0281753771735756	"FAIM2"	"KCNJ2"	"PHACTR3"	"SLC5A8"	"CLDN1"	"EPHB3"	"ALDH3B2"	"ESPN"	"EGFEM1P"	"DIRAS2"	"APOD"	"AC006305.2"	"TMEM92"	"HTR1E"	"AC011270.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TFF3"
"LPAR5"	"GRHL3"	"TFF3"	"TMPRSS4"	0.0265639070206908	"TMEM92"	"MAMLD1"	"SLC26A4"	"CDH6"	"MMP11"	"AP002358.2"	"KIAA1755"	"RPS29P11"	"TPO"	"KLK10"	"SLC26A4"	"SYT9"	"OMD"	"EGFEM1P"	"MKRN9P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CCL21"
"MPPED2"	"DMBX1"	"RTL4"	"PLAU"	0.0220728371857754	"KCNQ3"	"KRT15"	"MMP11"	"DCN"	"PLAU"	"CATSPER1"	"CLDN2"	"LAMB3"	"AC011270.2"	"MUC21"	"LINC01539"	"KIAA1324"	"GRHL3"	"VSTM2L"	"CLCNKB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RUNX1"
"SPX"	"NWD2"	"LAMB3"	"RXRG"	0.0197388188005391	"HMGA2"	"UNC5CL"	"RASD2"	"KCNQ3"	"CCL21"	"IVL"	"HMGA2"	"OGN"	"CLDN2"	"RASGRF1"	"PNPLA5"	"UGT3A2"	"ESPN"	"SYN1"	"AL355312.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PLCD3"
"PIWIL1"	"LINC01257"	"NGEF"	"SLC5A8"	0.020201334252025	"ACTBL2"	"DPT"	"PNPLA5"	"PLAU"	"CDH6"	"PHACTR3"	"AC011270.2"	"FN1"	"GJB3"	"AC254633.1"	"WDR72"	"CUX2"	"CAPN6"	"PAX1"	"MFAP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CUX2"
"NGEF"	"CCL21"	"FN1"	"NECTIN4"	0.0197675121197209	"KCNJ2"	"TMEM184A"	"BIRC7"	"RAG2"	"NCAM1"	"DOK7"	"AC007424.1"	"HHIPL2"	"QPCT"	"LINC01614"	"KCP"	"TBX22"	"TFCP2L1"	"DPP4"	"AVPR1A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"WARS1P1"
"MAMLD1"	"UNC5CL"	"PPP1R1B"	"SYT12"	0.0188105825848022	"KRT15"	"LPAR5"	"NOL4"	"NECTIN4"	"ITGA2"	"CPNE4"	"GABRB2"	"AC148477.4"	"C10orf55"	"CDH3"	"LNCNEF"	"RASD2"	"PRIMA1"	"RNU11"	"OR4D10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HES2"
"SCEL"	"DACH2"	"SCEL"	"NCAM1"	0.0178142632266386	"FN1"	"DPP4"	"ICAM5"	"CDH3"	"RXRG"	"UNC5B.AS1"	"FOLR3"	"KIAA1755"	"DPT"	"MYBPH"	"CLDN2"	"PROS1"	"NGEF"	"LINC01257"	"FOLR3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MFAP4"
"KCNQ3"	"SCEL"	"TMPRSS4"	"SLC22A31"	0.0162387698559202	"SLC22A31"	"MRO"	"PDE4C"	"RXRG"	"LAMB3"	"SLC26A7"	"PLCD3"	"AP000802.1"	"ARMC3"	"KLK11"	"C10orf55"	"LINC01257"	"FOLR3"	"NGEF"	"RNU4ATAC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DMBX1"
"CDH6"	"RBM24"	"KCNQ3"	"TCIM"	0.0155680532616786	"SYT12"	"CT75"	"MET"	"IGF2"	"PPARGC1A"	"PLA2G2E"	"C10orf55"	"KLK10"	"PROS1"	"PLCD3"	"ABTB2"	"AP000802.1"	"PROS1"	"SPX"	"AC006262.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CDH6"
"MRC2"	"QRFPR"	"CD164L2"	"PPARGC1A"	0.0145084572434471	"ITGA2"	"LINC02408"	"NOD1"	"SYT12"	"SYT12"	"FAM163A"	"IVL"	"RNU4ATAC"	"MPPED2"	"PSG1"	"AP002358.2"	"AC011298.1"	"AC007424.1"	"PRSS1"	"SSTR3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TMPRSS4"
"ESM1"	"NCAM1"	"NECTIN4"	"STRA6"	0.0138928850630713	"ESM1"	"CDH3"	"OGN"	"PPARGC1A"	"NECTIN4"	"LINC02560"	"MUC21"	"SSTR3"	"LINC02232"	"STRA6"	"SYT12"	"SLC5A8"	"MMP16"	"ESPN"	"MAPK4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"UNC5CL"
