"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"TFF3"	"CNMD"	"CUX2"	"KCNQ3"	0.474147727272727	"CHRDL1"	"HAPLN1"	"SEC14L3"	"GDF15"	"LINC02471"	"FGF10"	"AC011298.1"	"AGR2"	"CST2"	"CNMD"	"AOX1"	"CST5"	"CST2"	"RTL4"	"MAPK4"	"DCN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CUX2"	"SLC6A15"	"DPP4"	"KLK2"	0.422413882219555	"TCEAL5"	"PTCHD4"	"PNPLA5"	"EPHA10"	"IGFL2"	"EPHA10"	"CHRDL1"	"AOX1"	"CDH2"	"IGSF10"	"TENM1"	"TMEM132D"	"CST5"	"PCSK1N"	"CDH16"	"PI16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NGEF"	"Z93241.1"	"TMPRSS6"	"CUX2"	0.424342214548198	"METTL7B"	"KCNA1"	"UPK3A"	"ADCY8"	"LRRN4CL"	"AP002358.1"	"SLC25A47P1"	"RPS29P11"	"PRSS1"	"C7"	"ZCCHC12"	"DIO1"	"SCARA5"	"ZCCHC12"	"KCNQ3"	"IGSF10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CDH16"	"METTL7B"	"METTL7B"	"CSF2"	0.410087719298246	"CLDN16"	"TCEAL5"	"NOL4"	"METTL7B"	"MUC21"	"B3GNT3"	"IL36RN"	"PCSK1N"	"FAM178B"	"KLK11"	"MAPK4"	"FAM178B"	"ADIPOQ"	"CDH16"	"TFF1"	"TSPAN19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STRA6"	"SEC14L3"	"STAB2"	"TFF3"	0.40625	"LRRN4CL"	"KCNQ3"	"CHRDL1"	"SLC34A2"	"CPNE4"	"AC007255.1"	"GDF10"	"CDH16"	"KLHDC8A"	"XKRX"	"SFTPA1"	"ODAM"	"RNVU1.6"	"SLC5A5"	"IRS4"	"AADACP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF1"	"MFAP4"	"SEC14L3"	"NGEF"	0.39047619047619	"MYOC"	"OIT3"	"PCSK1N"	"CDH16"	"IGSF10"	"RPS29P11"	"SFTPA1"	"NWD2"	"EPHA10"	"KLK10"	"CEACAM6"	"INAVA"	"AP002358.1"	"SLC6A20"	"STAB2"	"AL353746.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SYT12"	"TCEAL5"	"GDF15"	"CDH16"	0.378321305315055	"OIT3"	"TFF3"	"OCA2"	"TNNT3"	"ADCY8"	"RGS8"	"KCNA1"	"ADCY8"	"PRSS2"	"TMEM92"	"SEC14L3"	"ZCCHC12"	"KLK6"	"TFF3"	"FGF10"	"CCL21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MUC21"	"KLK1"	"KLK2"	"METTL7B"	0.384906871427477	"SCARA5"	"ADH1B"	"SLC5A5"	"MAPK4"	"HCN4"	"ADIPOQ"	"EPHA10"	"GDF10"	"ADIPOQ"	"SNORD3B.2"	"LINC02408"	"AL355312.4"	"IGSF1"	"NOL4"	"KLK2"	"MMRN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MAPK4"	"GABRB2"	"INAVA"	"STRA6"	0.364361111111111	"AOX1"	"LRP4"	"PDE4C"	"TFF2"	"PRSS1"	"PDE4C"	"LINC01977"	"XKRX"	"GAP43"	"METTL7B"	"AL353746.1"	"GDF15"	"DES"	"DCSTAMP"	"DIO1"	"SLC5A5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF2"	"LRRN4CL"	"PDE4C"	"MAPK4"	0.365	"LINC01977"	"METTL7B"	"AGR2"	"SLIT1"	"TCEAL5"	"DPP4"	"TMPRSS11E"	"OCA2"	"TMPRSS11E"	"C6"	"RXRG"	"MMRN1"	"DPP6"	"GPC3"	"TNNT3"	"RPSAP52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNQ3"	"ADIPOQ"	"STRA6"	"TFF1"	0.361572567389875	"NWD2"	"AL355312.4"	"CWH43"	"PI16"	"FAM180B"	"CCL21"	"REN"	"AC254633.1"	"SLC34A2"	"HPCAL4"	"SCARA5"	"PDE4C"	"SNORD3A"	"MMRN1"	"STRA6"	"AC046195.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"METTL7B"	"KLHDC8A"	"B3GNT3"	"TFF2"	0.340277777777778	"FAM180B"	"IPCEF1"	"ODAM"	"TFF1"	"SERPINA5"	"WARS1P1"	"B3GNT3"	"HPCAL4"	"TSPAN19"	"MPPED2.AS1"	"HBA2"	"HMGA2"	"FN1"	"KLK10"	"SEMA3D"	"SLC6A15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STAB2"	"DES"	"TFF3"	"SYT12"	0.322007275132275	"RYR2"	"SLC6A15"	"NMU"	"NGEF"	"SLC6A20"	"PRSS2"	"CCL21"	"DCSTAMP"	"SYNDIG1L"	"HAPLN1"	"AC141930.1"	"SLC34A2"	"ZNF804B"	"ADCY8"	"REN"	"KLK15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LIPH"	"KCTD16"	"CSF2"	"INAVA"	0.322413793103448	"TFF3"	"CCL21"	"CUX2"	"SEC14L3"	"RELN"	"SLC5A5"	"FAM180B"	"AC026116.1"	"REN"	"SLC6A20"	"AC007255.1"	"LINC02555"	"TMPRSS11E"	"KCTD16"	"RELN"	"SERPINA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
