"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"GJA1"	"NDRG2"	"SERPING1"	"GJA1"	1	"CKS2"	"METTL7A"	"RPL10A"	"SCGB2A2"	"GJA1"	"ATP2A2"	"UQCR11"	"MT1X"	"S100A6"	"TOB1"	"CCNI"	"SSR4"	"ADIRF"	"SEC61G"	"TRMT112"	"PTTG1"	NA	NA	NA	NA	NA	NA	NA	NA
"ALDH3A2"	"CCT3"	"JUP"	"ALDH3A2"	1	"MMP1"	"ACTG2"	"PSMB2"	"CHP2"	"LCE2B"	"KRT2"	"CCN5"	"COX5A"	"AEBP1"	"CD63"	"TUBB"	"TFAP2C"	"METTL7A"	"GSTP1"	"HSPB1"	"RAPGEFL1"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFA1"	"KRT23"	"HTRA1"	"NDUFA1"	1	"KRT23"	"KRT2"	"NONO"	"DCN"	"ALDH3A2"	"CTSB"	"CHCHD2"	"MSMO1"	"RPL14"	"TMA7"	"DSP"	"RPS18"	"TMEM59"	"ADIRF"	"GPR143"	"NDRG2"	NA	NA	NA	NA	NA	NA	NA	NA
"ST3GAL5"	"BCL2A1"	"PPIA"	"ST3GAL5"	1	"BCL2A1"	"KRT23"	"RPL30"	"CCT3"	"PTGIS"	"RPS25"	"TYR"	"RTN3"	"AZGP1"	"SEPTIN10"	"CD164"	"NPTN"	"EDNRB"	"ZFP36L1"	"THBS2"	"TMA7"	NA	NA	NA	NA	NA	NA	NA	NA
"CDH3"	"ID4"	"ALDH2"	"CDH3"	1	"PTTG1"	"ID4"	"NPM1"	"AKR1C3"	"SERPINB7"	"NDUFA1"	"PKM"	"HNRNPA2B1"	"RAB25"	"RPS14"	"CAP1"	"SPINK5"	"PKM"	"MARCKSL1"	"GAPDH"	"GSTO1"	NA	NA	NA	NA	NA	NA	NA	NA
"SNRPE"	"FGFR2"	"NFKBIA"	"SNRPE"	1	"FABP4"	"FGFR2"	"HSP90AB1"	"FLG"	"KRT5"	"SNRPG"	"SNRPG"	"SNRPE"	"PTTG1IP"	"PMEL"	"ADH1B"	"S100A10"	"NGRN"	"FTH1"	"SNCA"	"CXCL9"	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"SPARCL1"	"TNC"	"EDNRB"	1	"FGFR2"	"DCN"	"RPL14"	"RPS6"	"CDK2"	"MLPH"	"BCL2A1"	"CD55"	"PLPP3"	"ATOX1"	"ALDH9A1"	"CHP2"	"MKNK2"	"CFH"	"TMEM258"	"SPARCL1"	NA	NA	NA	NA	NA	NA	NA	NA
"CSTA"	"RPS6"	"GJA1"	"CSTA"	1	"KRT2"	"EMP2"	"OAZ1"	"KRT23"	"SOX10"	"FABP5"	"ATOX1"	"LDHA"	"RPL32"	"TRIM29"	"C1R"	"KRT23"	"CHCHD2"	"TMEM258"	"LAPTM4A"	"MT2A"	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINB7"	"FBLN2"	"KRT5"	"SERPINB7"	1	"TGFBR3"	"PTTG1"	"RPS6"	"KRT14"	"KRT10"	"TMSB4X"	"NCL"	"RPS6"	"CAPG"	"SLC7A5"	"C3"	"CAPN3"	"RPL14"	"SLC20A1"	"CD164"	"UQCR11"	NA	NA	NA	NA	NA	NA	NA	NA
"TYR"	"HSPH1"	"COL3A1"	"TYR"	1	"SPARCL1"	"EFEMP1"	"ELOB"	"ALDH2"	"FGFR3"	"SOX10"	"RPS10"	"TM4SF1"	"PTGIS"	"CFH"	"BCL6"	"IER3"	"GALNT1"	"ITPRID2"	"FBLN2"	"GSTA4"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF6"	"EMP2"	"ALDH3A2"	"KLF6"	1	"PRAME"	"FBLN2"	"RPS25"	"F13A1"	"SLURP1"	"FGFR2"	"RPL23A"	"CSTA"	"UQCR11"	"GSTO1"	"SSR4"	"AFF1"	"CXCL9"	"FBLN1"	"ENO1"	"ALDH3A2"	NA	NA	NA	NA	NA	NA	NA	NA
"COL6A2"	"CDH3"	"TUBB3"	"COL6A2"	1	"CDK2"	"MFAP5"	"EEF2"	"CST6"	"SCGB1D2"	"EDNRB"	"SGK1"	"AKR1C3"	"DEGS1"	"SELENOP"	"OLFML3"	"NONO"	"SERPINE2"	"FGFR3"	"KLK11"	"ST3GAL5"	NA	NA	NA	NA	NA	NA	NA	NA
"ATP2A2"	"CFD"	"CDK4"	"ATP2A2"	1	"ACTG2"	"PSMB2"	"RPS10"	"CFD"	"PMEL"	"AKR1B1"	"EIF3E"	"GJA1"	"MLPH"	"UBB"	"RAB11A"	"NES"	"CDH3"	"HLA.C"	"TAGLN"	"CD63"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF5"	"MARCKSL1"	"NDUFA1"	"KLF5"	1	"MFAP5"	"CST6"	"ACTN4"	"SPINK5"	"FBLN2"	"SEM1"	"RPL10A"	"TGFBR3"	"TMEM45A"	"SNCA"	"TRIM29"	"ATP2A2"	"ATP1B3"	"GPR143"	"EEF2"	"NPC2"	NA	NA	NA	NA	NA	NA	NA	NA
"KRT16"	"LY6G6C"	"COL1A1"	"KRT16"	1	"EMP2"	"CCT3"	"DSP"	"KRT10"	"CDH3"	"KRT23"	"KRT5"	"CA12"	"RPS27L"	"OAZ1"	"EDNRB"	"TRMT112"	"PPL"	"NPC2"	"C1R"	"GNAS"	NA	NA	NA	NA	NA	NA	NA	NA
"TCHH"	"RPL10A"	"COL1A2"	"TCHH"	1	"PPL"	"PPL"	"NCL"	"LY6G6C"	"KRT2"	"ADIRF"	"OAZ1"	"SLURP1"	"CAPN3"	"GLTP"	"RPS25"	"EEF2"	"HLA.F"	"CAPN3"	"LYPD3"	"RPS23"	NA	NA	NA	NA	NA	NA	NA	NA
"SLURP1"	"PTTG1"	"NOTCH2"	"SLURP1"	1	"ID4"	"SPARCL1"	"TMEM59"	"DSG1"	"CDK4"	"HSPD1"	"ADH1B"	"ATP2A2"	"SSR4"	"CTSH"	"NPC2"	"ID4"	"S100A8"	"S100A8"	"MLPH"	"ALDH2"	NA	NA	NA	NA	NA	NA	NA	NA
"POMP"	"ACTA2"	"BCL6"	"POMP"	1	"PSMB2"	"LCE2B"	"CAP1"	"TUBB"	"EDNRB"	"FKBP1A"	"HSPH1"	"MYOF"	"METTL7A"	"METTL7A"	"PLS3"	"L1CAM"	"SDC1"	"CREG1"	"CHCHD2"	"SERPINE2"	NA	NA	NA	NA	NA	NA	NA	NA
"MLPH"	"SLC20A1"	"ST3GAL5"	"MLPH"	1	"KRT10"	"FABP4"	"UBB"	"PTGIS"	"DSP"	"GPR143"	"COL1A2"	"ATP5MC3"	"S100A10"	"RPL9"	"PRAME"	"HTRA1"	"TFAP2C"	"RPL12"	"MT1X"	"RPL29"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB4"	"AKR1C3"	"CDH3"	"NDUFB4"	1	"PTGIS"	"KRT1"	"MARCKSL1"	"AFF1"	"CSTA"	"GSTA4"	"TRIM29"	"RPS4X"	"CST3"	"S100A1"	"NPM1"	"COX5A"	"KLF5"	"PRAME"	"NDRG2"	"COX5A"	NA	NA	NA	NA	NA	NA	NA	NA
