"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"CEBPA"	"HSD17B11"	"TUBB2B"	"CEBPA"	0.875	"SLC7A5"	"CCNB1"	"SSR2"	"PDGFRB"	"UBE2C"	"QPCT"	"KTN1"	"PDLIM1"	"ZNF721"	"PPL"	"GNA15"	"PPIG"	"NDRG2"	"RANBP6"	"ATP5IF1"	NA	NA	NA	NA	NA	NA	NA	NA	"FTL"
"RPA1"	"CTNNBIP1"	"CSNK2B"	"RPA1"	0.861025302705897	"AUTS2"	"FEN1"	"PHB"	"KRT1"	"SFN"	"SKP2"	"DCLK1"	"NCAPG"	"PLPP1"	"CCT5"	"CROT"	"HIF1A"	"CMC2"	"PLS3"	"IGF2BP2"	NA	NA	NA	NA	NA	NA	NA	NA	"DAZAP2"
"SFN"	"CKS2"	"TOP2B"	"SFN"	0.855616904835156	"RRM2"	"QPCT"	"S100A11"	"CCT5"	"NCAPG"	"IMP3"	"PLS3"	"TSPAN14"	"TPI1"	"USP1"	"MKLN1"	"ROBO1"	"HSD17B11"	"CRYBG1"	"CAPZA1"	NA	NA	NA	NA	NA	NA	NA	NA	"DCTN3"
"KIT"	"SERBP1"	"CEBPA"	"KIT"	0.846772381262275	"UPP1"	"SRPX"	"LAPTM4A"	"FGFR2"	"CCT5"	"NCOA4"	"CEBPA"	"PDZD2"	"PIN4"	"IL1R2"	"RAD21"	"FBXO7"	"SFN"	"GJB3"	"PRELP"	NA	NA	NA	NA	NA	NA	NA	NA	"DSTN"
"TUBB2A"	"EPB41L4B"	"RPA1"	"TUBB2A"	0.813136220579697	"MELK"	"CTNNBIP1"	"GLO1"	"RPS27A"	"NT5C2"	"ALDH3A2"	"HMGCR"	"RRM2"	"NETO2"	"TIPARP"	"USP7"	"GSTK1"	"S100A7"	"PTGIS"	"SNRNP25"	NA	NA	NA	NA	NA	NA	NA	NA	"ACTB"
"KIF5B"	"PLP1"	"SFN"	"KIF5B"	0.8125	"ZWINT"	"PLPP1"	"HK1"	"NCAPG"	"TUBA4A"	"H2AX"	"TSPAN14"	"USP47"	"TUBA4A"	"UBE3A"	"HMMR"	"PPP1R13L"	"PDGFD"	"ACTR3"	"KDELR3"	NA	NA	NA	NA	NA	NA	NA	NA	"RPL3"
"RPS27A"	"MELK"	"KIF5B"	"RPS27A"	0.797626103892318	"CTNNBIP1"	"SPARCL1"	"NPC2"	"DSG1"	"CCNB2"	"SPINT2"	"UPP1"	"BIRC2"	"KPNA2"	"TLCD3A"	"AUTS2"	"S100A7"	"OXA1L"	"COLEC12"	"GJB3"	NA	NA	NA	NA	NA	NA	NA	NA	"UQCRC2"
"UBA52"	"DAAM2"	"RPS27A"	"UBA52"	0.797626103892318	"FEN1"	"CCNB2"	"RPS27"	"POLR2H"	"KIT"	"RTL8C"	"PTGIS"	"KRCC1"	"HLA.DMA"	"NPM1"	"SNRPD3"	"KPNA2"	"USP22"	"ZDHHC7"	"YY1"	NA	NA	NA	NA	NA	NA	NA	NA	"AP3S1"
"PSMD14"	"ZWINT"	"UBA52"	"PSMD14"	0.795723253884041	"ALDH2"	"PRELP"	"TPP1"	"CCNB2"	"HSD17B11"	"HLA.DMA"	"RHOBTB3"	"CKAP4"	"RNASEH2A"	"RPL3"	"HSD17B11"	"PAIP1"	"RBPJ"	"POLR2H"	"HDDC2"	NA	NA	NA	NA	NA	NA	NA	NA	"PDGFD"
"TUBB2B"	"CPQ"	"PSMD14"	"TUBB2B"	0.798870672850228	"PTGIS"	"CCN3"	"ARL6IP5"	"NPM1"	"POLR2H"	"POMP"	"PTMA"	"PLS3"	"BCAS2"	"ACOT7"	"RHOBTB3"	"MKLN1"	"TMEM45A"	"DENND5A"	"SDHC"	NA	NA	NA	NA	NA	NA	NA	NA	"LAPTM4A"
"CCNB1"	"FERMT1"	"CCNB1"	"CCNB1"	0.769229455479633	"EXPH5"	"ZWINT"	"DPYSL2"	"PPP1R13L"	"KRT14"	"MLEC"	"DPM1"	"TBCA"	"MLEC"	"TMEM45A"	"FUCA1"	"ADSL"	"PPP1R13L"	"GLO1"	"AQP3"	NA	NA	NA	NA	NA	NA	NA	NA	"S100A4"
"B2M"	"SPARCL1"	"B2M"	"B2M"	0.762226192995717	"PDZD2"	"FERMT1"	"PTMA"	"TUBB3"	"KIF5B"	"NHP2"	"CYCS"	"HEXB"	"PNRC2"	"FBXO7"	"TMEM45A"	"IGF2BP2"	"SPINT2"	"TIMM8B"	"DAAM2"	NA	NA	NA	NA	NA	NA	NA	NA	"RPL12"
"HIF1A"	"ORAI3"	"HIF1A"	"HIF1A"	0.761580099039162	"RNASEH2A"	"EMP3"	"ANXA5"	"ZWINT"	"ALDH2"	"PRC1"	"SPARCL1"	"MKLN1"	"NDEL1"	"EMP3"	"RNASEH2A"	"PIN4"	"YME1L1"	"NPM1"	"PSAP"	NA	NA	NA	NA	NA	NA	NA	NA	"GLO1"
"PSMB2"	"PDZD2"	"STAT6"	"PSMB2"	0.745694444444444	"CRYAB"	"PTPRM"	"DAZAP2"	"NT5C2"	"SDHD"	"AHSA1"	"FERMT1"	"DAG1"	"SRM"	"DLGAP5"	"AKR1B1"	"MYL6"	"NDUFS3"	"FERMT1"	"EXPH5"	NA	NA	NA	NA	NA	NA	NA	NA	"NDUFS3"
"USP7"	"RRM2"	"PSMB2"	"USP7"	0.731423255668934	"NEBL"	"DLGAP5"	"SPARCL1"	"SDHD"	"PPL"	"VAT1"	"ANXA5"	"RPL8"	"CCNB1"	"TMEM131"	"SRP9"	"PPL"	"EPPK1"	"SNRPD3"	"KRT1"	NA	NA	NA	NA	NA	NA	NA	NA	"S100A7"
"STAT6"	"NPC2"	"AHCY"	"STAT6"	0.729160785822724	"KRT14"	"HSD17B11"	"ACTB"	"VAV3"	"SPINK5"	"CLIC3"	"SNRPD3"	"RAB8A"	"CSNK2B"	"DAAM1"	"EPPK1"	"BCAS2"	"KRT10"	"HLA.E"	"SRPX"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP2R3A"
"NPM1"	"ACOT7"	"USP7"	"NPM1"	0.72695	"KLK11"	"COLEC12"	"RPL12"	"SPINK5"	"FKBP9"	"TOP2B"	"USP7"	"PLPP1"	"AHSA1"	"IGF2BP2"	"SYNCRIP"	"KIF2C"	"CDH3"	"GAL3ST4"	"IMP3"	NA	NA	NA	NA	NA	NA	NA	NA	"LYPLA1"
"CCT5"	"PSMB2"	"NPM1"	"CCT5"	0.721005555555556	"PRELP"	"EPB41L4B"	"TPI1"	"TAF10"	"PDGFD"	"USP1"	"PHB"	"DCLK1"	"SYNCRIP"	"SDHC"	"PFDN2"	"TOP2B"	"RAB27A"	"TNFRSF1A"	"NCOA4"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP1R13L"
"USP11"	"NEBL"	"CCT5"	"USP11"	0.720255555555556	"PDGFD"	"NETO2"	"PSAP"	"FCGRT"	"AHCY"	"LGALS1"	"NHP2"	"PRKDC"	"LYPLA1"	"DUSP3"	"COPS7A"	"KIT"	"TIPARP"	"ZNF750"	"AHSA1"	NA	NA	NA	NA	NA	NA	NA	NA	"NSA2"
"CCT3"	"PPP1R13L"	"USP11"	"CCT3"	0.711805555555556	"KIF2C"	"PDZD2"	"UQCRC2"	"AKR1B1"	"PTPRK"	"SLC31A2"	"RACGAP1"	"PPP2R5E"	"TIMM8B"	"SERBP1"	"DAAM2"	"RAB8A"	"NHP2"	"APOD"	"HK1"	NA	NA	NA	NA	NA	NA	NA	NA	"RALBP1"
