"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"KLF6"	"KRT23"	"KRT5"	"KLF6"	1	"KRT2"	"PSMB2"	"RPL14"	"CST6"	"SPINK5"	"PFDN5"	"LAPTM4A"	"KRT15"	"NSA2"	"OAT"	"ALDOA"	"METTL9"	"KRT23"	"MARCKSL1"	"METTL9"	"RPL10A"	NA	NA	NA	NA	NA	NA	NA	NA
"COL6A2"	"RPL3"	"COL3A1"	"COL6A2"	1	"CTSB"	"AZGP1"	"OAZ1"	"PTGIS"	"SLURP1"	"HUWE1"	"BACE2"	"BUD31"	"CTNNBIP1"	"S100A11"	"METTL9"	"SGK1"	"SNRPE"	"OAT"	"LAPTM4A"	"COX5A"	NA	NA	NA	NA	NA	NA	NA	NA
"ATP2A2"	"ADH1B"	"NR3C1"	"ATP2A2"	1	"MATN2"	"KRT23"	"RPS6"	"CHP2"	"CDH3"	"ATP1B3"	"CHP2"	"TAGLN"	"STAT1"	"RPS10"	"COL1A1"	"PFDN5"	"TUBB"	"EMP2"	"SOX10"	"NSA2"	NA	NA	NA	NA	NA	NA	NA	NA
"KRT16"	"PCLAF"	"RRM2"	"KRT16"	1	"PSMB2"	"CYB5A"	"ELOB"	"NPM1"	"SCGB2A2"	"ZFP36L1"	"OPHN1"	"SSR4"	"RPS10"	"ATP5PF"	"TUBA1A"	"ATP1B1"	"KCTD12"	"CDSN"	"GPX1"	"AQP1"	NA	NA	NA	NA	NA	NA	NA	NA
"COL4A1"	"ID4"	"ALDH3A2"	"COL4A1"	1	"ACTG2"	"LCE2B"	"RPS25"	"AQP1"	"CST6"	"METTL9"	"NONO"	"SEM1"	"S100A11"	"NOTCH2"	"MLPH"	"HSBP1"	"CCN5"	"FGFR2"	"ODC1"	"KRT5"	NA	NA	NA	NA	NA	NA	NA	NA
"TCHH"	"CST6"	"TUBB3"	"TCHH"	1	"ID4"	"PTGIS"	"EEF2"	"DSG1"	"KRT5"	"ZNF750"	"MGP"	"UQCR11"	"RPS25"	"KLK5"	"CDK4"	"CST6"	"SSR4"	"CD164"	"TYR"	"KRT14"	NA	NA	NA	NA	NA	NA	NA	NA
"SLURP1"	"SPARCL1"	"CDK4"	"SLURP1"	1	"CYB5A"	"DCN"	"RPS10"	"FLG"	"TOP2A"	"ACTN4"	"CREG1"	"OAZ1"	"BTF3"	"ALDH3A2"	"SLC7A5"	"RAB25"	"TCHH"	"RPL7"	"DUSP1"	"HUWE1"	NA	NA	NA	NA	NA	NA	NA	NA
"POMP"	"KLF4"	"COL1A1"	"POMP"	1	"KRT10"	"KRT1"	"ACTN4"	"F13A1"	"NR3C1"	"OSBPL8"	"DSG1"	"DAZAP2"	"FBLN2"	"RPL12"	"RPL3"	"TUBA1A"	"RPS16"	"HLA.DRA"	"NCL"	"PKM"	NA	NA	NA	NA	NA	NA	NA	NA
"MLPH"	"TGFBR3"	"COL1A2"	"MLPH"	1	"NEBL"	"AKR1C3"	"DSP"	"KRT14"	"CEBPA"	"NR3C1"	"TUBB3"	"TMEM45A"	"HMGB2"	"AQP1"	"OLFML3"	"GNAS"	"ATP1B3"	"PARK7"	"MARCKSL1"	"DEGS1"	NA	NA	NA	NA	NA	NA	NA	NA
"FLG"	"STAT1"	"NOTCH2"	"FLG"	0.999013806706114	"CST6"	"SPARCL1"	"NCL"	"KRT23"	"DSG1"	"ACTA2"	"SCGB2A2"	"SNRPG"	"KRT10"	"CA12"	"HSP90AA1"	"SNX3"	"ZFP36L1"	"TIMP1"	"SCGB2A2"	"OAZ1"	NA	NA	NA	NA	NA	NA	NA	NA
"TNC"	"PPL"	"BCL6"	"TNC"	0.998628257887517	"PPL"	"CILP"	"TMEM59"	"RPS6"	"KRT2"	"KRT2"	"RPS27"	"TRMT5"	"DSP"	"RPS16"	"AKR1C2"	"TUBB3"	"CXCL8"	"S100A4"	"SPINK5"	"ATP1A1"	NA	NA	NA	NA	NA	NA	NA	NA
"KRT14"	"TSPAN8"	"CDH3"	"KRT14"	0.998490945674044	"AZGP1"	"HSPH1"	"UBB"	"KRT10"	"FBLN1"	"CTSB"	"RPS10"	"TPI1"	"RPL29"	"CFH"	"KRT1"	"ITPRID2"	"TOB1"	"S100A10"	"OLFML3"	"LY6G6C"	NA	NA	NA	NA	NA	NA	NA	NA
"MMP1"	"GARS1"	"SNRPE"	"MMP1"	0.997844827586207	"PTGIS"	"ADIRF"	"MARCKSL1"	"TUBB3"	"FGFR2"	"LGALS1"	"ISL1"	"PARK7"	"DEFB1"	"SRP14"	"HSPH1"	"CA12"	"COL3A1"	"TRIB2"	"RPL29"	"FTL"	NA	NA	NA	NA	NA	NA	NA	NA
