"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"
"RRM2"	"KLK11"	"TOP2A"	"RRM2"	1	"BCL6"	"BCL6"	"PSMB2"	"FGFR2"	"SLURP1"	"AKR1C2"	"MYOF"	"CXCL14"	"CFD"	"NTRK3"	"BCL6"	"HSBP1"	"KPNB1"	"GAPDH"	"FGFR3"	"DYNLT1"	NA	NA	NA	NA	NA	NA	NA	NA
"ALDH3A2"	"AQP1"	"PPIA"	"ALDH3A2"	1	"MMP1"	"PSMB2"	"ERH"	"CCT3"	"KRT1"	"HMGN1"	"ATP1A1"	"KRT1"	"PHC2"	"EMP2"	"COL1A1"	"ERH"	"RAB11A"	"MT1X"	"CPA3"	"AQP1"	NA	NA	NA	NA	NA	NA	NA	NA
"ST3GAL5"	"CFH"	"ALDH2"	"ST3GAL5"	1	"PSMB2"	"UBE2C"	"NONO"	"FEN1"	"SPINK5"	"TSPAN8"	"DCT"	"MMP1"	"RAPGEFL1"	"NES"	"NES"	"CFH"	"TIMP1"	"RPL12"	"DUSP1"	"TRIM29"	NA	NA	NA	NA	NA	NA	NA	NA
"CDH3"	"TOB1"	"NFKBIA"	"CDH3"	1	"CILP"	"CILP"	"RPL30"	"CEBPA"	"PTGIS"	"RPL34"	"CFD"	"CXCL9"	"SOX10"	"TUBB3"	"S100A10"	"MLLT11"	"GSTO1"	"MGP"	"DUSP4"	"TRMT5"	NA	NA	NA	NA	NA	NA	NA	NA
"SNRPE"	"ACTG2"	"TNC"	"SNRPE"	1	"LCE2B"	"KRT23"	"NPM1"	"AQP1"	"FEN1"	"EDNRB"	"MARCKSL1"	"RPS18"	"TUBA1A"	"RAPGEFL1"	"CCT5"	"CD55"	"AZGP1"	"SLC38A2"	"ATP6V0E2"	"CKS2"	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"LY6G6C"	"GJA1"	"EDNRB"	1	"FBLN2"	"SOX10"	"HNRNPD"	"CHP2"	"FGFR2"	"RPS27A"	"YBX1"	"SDC1"	"HSPB1"	"TNC"	"CRCT1"	"COL4A1"	"RPL39"	"EIF3E"	"LY6D"	"RRM2"	NA	NA	NA	NA	NA	NA	NA	NA
"CSTA"	"CDH3"	"KRT5"	"CSTA"	1	"KLK11"	"DCN"	"RPL14"	"LY6G6C"	"CDSN"	"GPX1"	"GPR143"	"CEBPB"	"ARG1"	"CRCT1"	"CILP"	"CAPG"	"DDIT4"	"CCT5"	"HMGN1"	"ISL1"	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINB7"	"FEN1"	"COL3A1"	"SERPINB7"	1	"FLG"	"FLG"	"RPS6"	"KRT23"	"DSG1"	"RPS5"	"ATP5PF"	"ATP6V0E2"	"CD164"	"CD55"	"CHCHD2"	"KRT23"	"U2AF1"	"HNRNPA2B1"	"CRYBG1"	"ALDH3A2"	NA	NA	NA	NA	NA	NA	NA	NA
"TYR"	"FBLN2"	"RRM2"	"TYR"	1	"KRT23"	"PPL"	"ELOB"	"TUBB"	"UBE2C"	"DSC3"	"CDSN"	"HLA.DRA"	"NCOA4"	"ALDH3A2"	"ACTB"	"IER3"	"ATP1A1"	"KRT1"	"HLA.DRA"	"EEF1D"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB1"	"KRT10"	"ALDH3A2"	"NDUFB1"	1	"MATN2"	"FBLN2"	"EEF2"	"RRM2"	"FBLN1"	"ALDOA"	"UBE2S"	"BEX3"	"WBP1L"	"NME1"	"SCGB2A2"	"RPL8"	"GPX1"	"CCN5"	"EIF5B"	"HMGN2"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF6"	"CYB5A"	"TUBB3"	"KLF6"	1	"UBE2C"	"ACTG2"	"DSP"	"FLG"	"FBLN2"	"CCN5"	"SDC1"	"ACTG2"	"YBX1"	"NFKBIA"	"TRMT5"	"RPL34"	"CHCHD2"	"HLA.DRA"	"COX5A"	"EMP2"	NA	NA	NA	NA	NA	NA	NA	NA
"ATP2A2"	"PPL"	"CDK4"	"ATP2A2"	1	"ACTG2"	"ALDH2"	"NCL"	"CFD"	"ALDH2"	"FEN1"	"GNAS"	"RPL39"	"EIF5B"	"U2AF1"	"NFKBIA"	"SCGB1D2"	"TMEM43"	"MAFB"	"MAFB"	"ABLIM1"	NA	NA	NA	NA	NA	NA	NA	NA
"KLF5"	"TSPAN8"	"COL1A1"	"KLF5"	1	"PTGIS"	"AQP1"	"TMEM59"	"CST6"	"LY6G6C"	"COX7A2"	"FBLN2"	"NOTCH2NLA"	"ERH"	"FABP4"	"KRT2"	"DDIT4"	"ADIRF"	"YBX1"	"TIMP1"	"HLA.DPA1"	NA	NA	NA	NA	NA	NA	NA	NA
"COL4A1"	"RPL10A"	"COL1A2"	"COL4A1"	1	"KRT2"	"FBLN1"	"UBB"	"NONO"	"TOP2A"	"CTSV"	"FEN1"	"CD81"	"S100A1"	"AKR1C2"	"ATP1B3"	"H2AZ1"	"KLK7"	"HMGB2"	"RPS18"	"PSMB2"	NA	NA	NA	NA	NA	NA	NA	NA
"SLURP1"	"HSPH1"	"NOTCH2"	"SLURP1"	1	"ACSL1"	"YBX3"	"MARCKSL1"	"DSG1"	"CDH3"	"NDUFB1"	"FLG"	"FKBP9"	"SLC20A1"	"NEBL"	"TUBA1A"	"NPTN"	"ALDOA"	"CYCS"	"NEBL"	"DCT"	NA	NA	NA	NA	NA	NA	NA	NA
"POMP"	"CILP"	"U2AF1"	"POMP"	1	"DCT"	"MFAP5"	"CD63"	"F13A1"	"SCGB2A2"	"RPS14"	"SGK1"	"PLS3"	"CD55"	"PMEL"	"DSP"	"NFKBIA"	"SLC20A1"	"CD81"	"CTSK"	"PCNA"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB4"	"LCE2B"	"BCL6"	"NDUFB4"	1	"CCT3"	"MATN2"	"LAPTM4A"	"KRT14"	"CEBPA"	"NGRN"	"CCT5"	"SEM1"	"CD81"	"NPTN"	"MXRA7"	"TPI1"	"MYOF"	"RPL34"	"SERBP1"	"CD63"	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFA13"	"ALDH2"	"ST3GAL5"	"NDUFA13"	1	"MFAP5"	"KRT1"	"RPL32"	"KRT10"	"RRM2"	"DHCR24"	"RPL39"	"C3"	"CYB5A"	"ACTA2"	"CSRP2"	"LDHB"	"DCT"	"DHCR24"	"RPL12"	"RPL10A"	NA	NA	NA	NA	NA	NA	NA	NA
"KRT14"	"DDIT4"	"CDH3"	"KRT14"	0.999514327343371	"ALDH2"	"FEN1"	"CD81"	"RPS6"	"DSP"	"MSMO1"	"PKM"	"NGRN"	"KRT23"	"EDNRB"	"ALDH2"	"LUM"	"PTGIS"	"RPS18"	"CFH"	"KRT2"	NA	NA	NA	NA	NA	NA	NA	NA
