"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"MMP3"	"CLEC3B"	"TUBB3"	"MMP1"	0.892381868422548	"LINC01614"	"CENPF"	"ADRB1"	"CLDN5"	"IL33"	"PGC"	"ASF1B"	"NPR1"	"TTK"	"MMP13"	"ADAMTS14"	"SPC24"	"CXCL13"	"EPYC"	"GPX3"	"VEGFD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"COL1A1"	"IBSP"	"MYH11"	"HOXC13"	0.869168446227638	"CAVIN2"	"ANLN"	"COL11A1"	"EXO1"	"AURKB"	"TNNT1"	"CLEC3B"	"SLCO1A2"	"MARCO"	"ZBTB16"	"CD300LG"	"CDCA2"	"CHRDL1"	"AC093895.2"	"SCN7A"	"TNNT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMP1"	"NEK2"	"COL1A1"	"COL1A1"	0.867148080091491	"MME"	"FHL1"	"MCM10"	"NEK2"	"WIF1"	"AGER"	"BMP3"	"TRHDE"	"SFTA3"	"NDC80"	"CLDN5"	"NKAIN1"	"BIRC5"	"PLPP4"	"CBLN2"	"KIF26B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXC13"	"COL10A1"	"SSTR1"	"EXO1"	0.862637362637363	"FXYD1"	"CLEC3B"	"ASPM"	"COL11A1"	"MMP1"	"LINC00466"	"ARC"	"PKHD1L1"	"OVCH2"	"ATP1A2"	"PLPP4"	"AL117329.1"	"IBSP"	"MIR4653"	"SKA3"	"CD300LG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EXO1"	"FXYD1"	"MMP3"	"SPP1"	0.826955782312925	"MMP13"	"LINC01614"	"CLDN18"	"AURKB"	"HMMR"	"SPP1"	"AC044784.1"	"ESCO2"	"PRAME"	"NPR1"	"PGC"	"KCNA4"	"DES"	"TUBB3"	"LYVE1"	"ADAMTS14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFAP2A"	"TUBB3"	"MMP1"	"TFAP2A"	0.805818584110085	"IL33"	"IQGAP3"	"PITX1"	"CENPF"	"MYBL2"	"LYVE1"	"LGI3"	"MIR4653"	"MKI67"	"TTK"	"PLAC1"	"CADM3.AS1"	"ADAMTS14"	"LINC01705"	"TNNT1"	"AC093895.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SPP1"	"CAV1"	"GTSE1"	"AQP4"	0.80251134341544	"TNXB"	"KIF4A"	"HMMR"	"CKAP2L"	"COL11A1"	"NDC80"	"HBA2"	"PDK4"	"UBE2T"	"NKX2.1"	"VEGFD"	"AC134312.5"	"ANGPTL7"	"CKAP2L"	"ASF1B"	"FNDC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYH11"	"PLAC1"	"COMP"	"MYH11"	0.799098661067071	"SCARA5"	"NEK2"	"TRHDE"	"RRM2"	"TPX2"	"LINC01561"	"PITX1"	"ADRA1A"	"COMP"	"MKI67"	"CTHRC1"	"AC044810.2"	"COL11A1"	"SFTA3"	"HOXC10"	"MMP13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AQP4"	"IQGAP3"	"UBE2T"	"IL6"	0.759285536989446	"NPR1"	"ABCA10"	"PPP2R2C"	"MYBL2"	"CKAP2L"	"ADAMTS14"	"AL117329.1"	"PCOLCE2"	"PTPRQ"	"PKMYT1"	"MYH11"	"PLPP4"	"GDF10"	"LINC00466"	"CDC25C"	"LRRC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IL6"	"MMP11"	"HBB"	"HBB"	0.75537703231366	"UHRF1"	"NPR1"	"GTSE1"	"UBE2T"	"COL10A1"	"ACADL"	"GRM4"	"OVCH2"	"CES1"	"CYP4A11"	"COL11A1"	"LINC00536"	"NAPSA"	"TNXB"	"IBSP"	"COL1A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBB"	"LYVE1"	"TFAP2A"	"AURKB"	0.751645631600536	"COL11A1"	"CKAP2L"	"UBE2T"	"CDC20"	"CDC20"	"NCAPG"	"OR2B6"	"SLC19A3"	"BUB1B"	"LINC00968"	"ITIH5"	"AL031777.1"	"CRABP2"	"CENPA"	"GRM4"	"LINC01561"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AURKB"	"COMP"	"SPP1"	"PLK1"	0.717712491657564	"CTHRC1"	"BUB1"	"NDC80"	"CDC25C"	"RRM2"	"ASF1B"	"PGC"	"CENPA"	"GSTA1"	"GRM4"	"GPM6A"	"DES"	"SPP1"	"ITLN2"	"GPIHBP1"	"ECRG4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UBE2T"	"CA4"	"ADRB1"	"SLCO1A2"	0.721649836092519	"FHL1"	"KIF26B"	"CXCL2"	"BUB1"	"KIF26B"	"EEF1A2"	"ANKRD29"	"CDK1"	"FOXD3.AS1"	"C7"	"UBE2T"	"LGI3"	"CR381670.1"	"ACADL"	"ATP1A2"	"CA4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PLK1"	"MYH11"	"AQP4"	"SCN7A"	0.708644600203746	"IQGAP3"	"KIF2C"	"EPYC"	"NPR1"	"HOXC11"	"CNTNAP2"	"COMP"	"DNASE1L3"	"FABP4"	"ADAMTS14"	"PPP2R2C"	"DSCAM.AS1"	"LINC01614"	"FAM107A"	"MMP1"	"PLPP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VEGFD"	"ADAMTS14"	"CNTNAP2"	"UBE2T"	0.696409673367662	"FAM107A"	"CAVIN2"	"SLCO1A2"	"UBE2C"	"COMP"	"ATP1A2"	"PDK4"	"PKMYT1"	"ANLN"	"KIF14"	"SFTPC"	"TTK"	"MASP1"	"BMP3"	"OR2B6"	"CST2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLCO1A2"	"ABCA10"	"AURKB"	"TPX2"	0.69192282635826	"CLDN5"	"KIF14"	"NKAIN1"	"KIF4A"	"CENPF"	"HBA1"	"COL10A1"	"SYNDIG1"	"NCAPG"	"UBE2T"	"ATP1A2"	"LINC01705"	"MMP3"	"KIF20A"	"C7"	"CILP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCN7A"	"UHRF1"	"CDC25C"	"VEGFD"	0.699430199430199	"CENPF"	"PLK1"	"TPX2"	"GTSE1"	"SPP1"	"PPP2R2C"	"AC096531.2"	"PLK1"	"HIF3A"	"HSD17B13"	"FXYD1"	"KCNE1"	"KIF20A"	"SFTPC"	"HOTAIR"	"GSTA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPX2"	"GPIHBP1"	"TPX2"	"FOXM1"	0.68871970743148	"FMO2"	"BUB1B"	"BIRC5"	"KIF26B"	"NPR1"	"RBP4"	"RRM2"	"TFF1"	"GTSE1"	"DMBT1"	"CYP4A11"	"TOP2A"	"COMP"	"H1.12P"	"C4BPA"	"PI16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"COMP"	"CST2"	"ADRA1A"	"CLDN5"	0.677145789649138	"ADAMTS14"	"ASPM"	"KIF4A"	"ASF1B"	"EXO1"	"SYT13"	"MKI67"	"FXYD1"	"IL33"	"FABP4"	"CDCA5"	"LHFPL3.AS2"	"NUF2"	"CARMN"	"COL1A1"	"SCARA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FOXM1"	"MYOC"	"SFTPA2"	"SFTA3"	0.672995981308526	"LYVE1"	"HJURP"	"FMO2"	"COL10A1"	"UBE2T"	"COL10A1"	"CSF3"	"LINC00466"	"CAV1"	"EPYC"	"CENPA"	"MMP13"	"TNXB"	"ADRA1A"	"AQP4"	"SFTPA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
