"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"ADAM33"	"IBSP"	"ABCA8"	"COL11A1"	0.0219658199450443	"MMP11"	"CEP55"	"HMMR"	"MMP1"	"CNTNAP2"	"GPIHBP1"	"ADH1B"	"FOXI1"	"NUSAP1"	"NEIL3"	"LINC01614"	"CHRDL1"	"E2F7"	"HIF3A"	"E2F7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KRT14"
"FMO2"	"TMEM132C"	"G0S2"	"MMP1"	0.0216007378096448	"GPD1"	"CAV1"	"WDR62"	"ECRG4"	"CAVIN2"	"RN7SL3"	"IGFL2"	"G0S2"	"SPC24"	"TOP2A"	"NAT8L"	"UHRF1"	"ADH1C"	"ABCA8"	"SGO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC01561"
"KIF4A"	"CXCL2"	"ID4"	"MMP13"	0.0209537713526306	"FABP4"	"MELK"	"NDC80"	"TOP2A"	"ADAM33"	"CEP55"	"KLK6"	"GPX3"	"KCNJ16"	"MMP11"	"CADM3"	"H2AC20"	"AP001528.2"	"HOXA10"	"LRRC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KRT6B"
"ITIH5"	"LINC01614"	"RBP4"	"H4C3"	0.0203610250382816	"CA4"	"GPIHBP1"	"CXCL2"	"VEGFD"	"H4C5"	"EXO1"	"SLC19A3"	"NEK2"	"LINC02544"	"PLAC1"	"EDN3"	"RRM2"	"NUF2"	"ADH1B"	"CDC45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MYH11"
"MKI67"	"ACKR1"	"MMP1"	"ADAM33"	0.020095480880712	"BTNL9"	"SCN4B"	"EPYC"	"PTTG1"	"ECRG4"	"CDC25C"	"KCNJ16"	"EPYC"	"NEK2"	"SGO1"	"E2F8"	"WDR62"	"TNXB"	"DRP2"	"LINC01235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CNTNAP2"
"NEK2"	"KCNJ16"	"COMP"	"G0S2"	0.0193346553354199	"ATP1A2"	"ANLN"	"SLCO1A2"	"RBP4"	"MMP13"	"MMP13"	"KIF14"	"LINC01235"	"KNL1"	"PTTG1"	"FXYD1"	"RAD54L"	"EDN3"	"NDC80"	"AC092801.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"VEGFD"
"ECRG4"	"RPL41P5"	"CFD"	"H4C5"	0.0193722243761517	"HLF"	"LINC01614"	"RAD54L"	"CD300LG"	"RBP4"	"ITIH5"	"KRT16"	"IGSF10"	"HIF3A"	"H4C5"	"BUB1"	"MTFR2"	"CKAP2L"	"FXYD1"	"COMP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL2"
"CEP55"	"KNL1"	"ECRG4"	"ID4"	0.0184493914350452	"HJURP"	"COL11A1"	"PPEF1"	"KIF4A"	"ITIH5"	"HMMR"	"COL11A1"	"DTL"	"CAV1"	"ECRG4"	"CCL21"	"RBP4"	"FREM1"	"CST1"	"PITX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ECRG4"
"MAMDC2"	"RBP4"	"ADAM33"	"VEGFD"	0.0151789186429113	"COL11A1"	"IBSP"	"KIF4A"	"OR2B6"	"TOP2A"	"COL6A5"	"KNL1"	"ACKR1"	"LHFPL5"	"KLK6"	"AKR1B15"	"ARC"	"ARC"	"CLEC3B"	"G0S2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KLK6"
"LRRC15"	"MMP11"	"PCOLCE2"	"H4C2"	0.0141416606997861	"UHRF1"	"BTNL9"	"CLSPN"	"WIF1"	"VEGFD"	"IQGAP3"	"H4C2"	"SCN4B"	"SGO1"	"ADRA1A"	"ITIH5"	"FABP7"	"GPD1"	"MYT1"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC01614"
"KIF20A"	"CD300LG"	"LYVE1"	"RBP4"	0.0122478633410647	"KLK6"	"HJURP"	"CDC45"	"MKI67"	"FABP4"	"SIM1"	"MTFR2"	"CDC25C"	"SKA3"	"ANGPTL7"	"WIF1"	"NEK2"	"ADH1A"	"H2AC20"	"ADH1B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LRRC15"
"CENPF"	"CYP2B7P"	"HJURP"	"TOP2A"	0.0113722388498773	"MAMDC2"	"ASPM"	"FMO2"	"RRM2"	"PTTG1"	"CRABP1"	"NAT8L"	"ITIH5"	"DTL"	"ADH1C"	"HLF"	"TNXB"	"ADAM33"	"MMP10"	"MMP10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AKR1B15"
"CHRDL1"	"TUBB3"	"FABP4"	"LYVE1"	0.0114648119425023	"SCN4B"	"DLGAP5"	"MMP11"	"NEK2"	"COL11A1"	"CFD"	"LPL"	"CA4"	"WDR62"	"ITIH5"	"FOXJ1"	"ROS1"	"ZBBX"	"KRT6B"	"MAP1LC3C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IGHA2"
"CD300LG"	"SCN2B"	"CHRDL1"	"KRT14"	0.010944	"VEGFD"	"NUF2"	"CENPM"	"FABP4"	"H4C2"	"ADH1B"	"CDO1"	"MASP1"	"COL6A5"	"ERCC6L"	"FOXI1"	"TRHDE.AS1"	"LINC01561"	"CAVIN2"	"MS4A15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CD300LG"
"DTL"	"AC093895.2"	"LPL"	"ABCA8"	0.0107243067066534	"IBSP"	"ACKR1"	"FAM83D"	"ROS1"	"KRT14"	"BTNL9"	"PBK"	"PBK"	"TROAP"	"EDN3"	"FBN2"	"EPYC"	"FBN2"	"ADAMDEC1"	"FOXJ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC112721.2"
"HMMR"	"ITIH5"	"HMMR"	"PTTG1"	0.0107060599485053	"DLGAP5"	"BUB1"	"CHRDL1"	"ASPM"	"RRM2"	"GPD1"	"AC093895.2"	"ASPA"	"AC134312.5"	"AC044784.1"	"NCAPG"	"CENPM"	"MMP13"	"H4C5"	"CA4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC134312.5"
"BTNL9"	"FAM83D"	"CAVIN2"	"COMP"	0.010161903483413	"LRRC15"	"CLSPN"	"DRP2"	"KIF14"	"OR2B6"	"KCNJ16"	"CADM3"	"NDC80"	"TMEM132C"	"CEP55"	"SIM1"	"ERCC6L"	"H2AC21"	"AC104984.2"	"KIF14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC02544"
"SCARA5"	"H4C5"	"VEGFD"	"FABP4"	0.00936145434412974	"HIF3A"	"UBE2C"	"SGCG"	"IQGAP3"	"H4C3"	"MARCHF4"	"E2F7"	"HAPLN1"	"CLEC3B"	"H2AC21"	"MMP10"	"CADM3"	"TRHDE.AS1"	"MTFR2"	"ROS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EPYC"
