"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"LYVE1"	"PDX1"	"ACAN"	"FEV"	0.473867574032523	"GLP2R"	"ESM1"	"VSIG2"	"LYVE1"	"GPT"	"LRRN2"	"TMEM236"	"SIM2"	"FIRRE"	"DPT"	"AL772337.1"	"LINC01811"	"MT1M"	"MMP3"	"ESM1"	"CDH3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FAM135B"	"KRT24"	"CHGB"	"FAM135B"	0.492106305887516	"LGI1"	"LARGE2"	"MYOC"	"FAM135B"	"LINC01411"	"HTR3E"	"CHGB"	"SLC30A10"	"MS4A12"	"GREM2"	"CCN5"	"PLAC4"	"PRSS22"	"CHRDL1"	"SFTA2"	"LINC02418"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF19"	"SCGN"	"CEACAM7"	"CHGB"	0.472771884919892	"ABCA8"	"KLK6"	"USP2"	"NKD2"	"BRINP3"	"CHST5"	"CHRM2"	"FEZF1"	"GCG"	"SOX14"	"DHRS9"	"FAM135B"	"VIP"	"CLCA1"	"GRIN2D"	"LYVE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACAN"	"GLP2R"	"PIRT"	"ACAN"	0.456918831721758	"WNT2"	"KRT80"	"BEST2"	"CHGB"	"GPR15"	"PLUT"	"PDX1"	"SLC17A8"	"DPEP1"	"CHST5"	"AC021218.1"	"SLC7A14"	"TCN1"	"KIF26B"	"CXCL8"	"WNT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHGB"	"DDN"	"BRINP3"	"FGF19"	0.444803083495864	"INHBA"	"ETV4"	"TG"	"KIF26B"	"CA1"	"INHBA"	"CST4"	"EVA1A"	"ACAN"	"CRNDE"	"AC007608.4"	"TCN1"	"NKD2"	"HTR1D"	"SFRP1"	"KLK8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC6A19"	"CA7"	"CDH3"	"KIF26B"	0.375116929992297	"CLEC3B"	"CPNE7"	"ZIC2"	"GRIN2D"	"LINC02418"	"ABCA8"	"MOGAT2"	"KRT24"	"SULT1A2"	"ANPEP"	"LYVE1"	"AL109615.3"	"FAM135B"	"MEP1B"	"KRT80"	"SLITRK3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KIF26B"	"MS4A10"	"PI16"	"SLC6A19"	0.370954896227996	"CEMIP"	"DDN"	"GUCA2B"	"EDN3"	"GCNT2"	"ADCYAP1R1"	"NKD2"	"NRXN1"	"BTNL8"	"WNT2"	"VIP"	"EDN3"	"SLC7A14"	"SLC25A34"	"KLK6"	"ETV4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDN3"	"CEMIP"	"C6orf15"	"BRINP3"	0.348341878461604	"MAMDC2"	"C6orf223"	"CREB3L3"	"MMP7"	"AC007099.1"	"ELFN1.AS1"	"PHOX2B"	"GPT"	"ABCG2"	"LGI1"	"MMP1"	"IGLV7.43"	"AL109615.3"	"KLK7"	"FOXQ1"	"CLDN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BRINP3"	"CRNDE"	"SFTA2"	"GRIN2D"	0.329639304533372	"GCNT2"	"NOTUM"	"COL11A1"	"SFTA2"	"ECRG4"	"PLAC4"	"FEZF1"	"MOGAT2"	"PRIMA1"	"NRXN1"	"LYPD8"	"CCN5"	"GP2"	"NKD1"	"CA7"	"MMP7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL8"	"WNT2"	"KIF26B"	"MMP7"	0.313988050170347	"CPNE7"	"LINC02577"	"CDH3"	"CEMIP"	"ZIC2"	"TMEM236"	"ABCA8"	"FOXQ1"	"LINC00659"	"AC087379.1"	"PYY"	"CASC19"	"ABCA8"	"MAPK15"	"BMP3"	"OGN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CEMIP"	"FABP6"	"KRT6B"	"CXCL8"	0.287846230873557	"CADM3"	"USP2"	"CCN5"	"SLC6A19"	"MAMDC2"	"PCOLCE2"	"KLK7"	"EPHX4"	"BMP3"	"LEMD1"	"AC087379.1"	"TMIGD1"	"SLC17A4"	"DKK4"	"KRT20"	"SEMA3E"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTA2"	"MAMDC2"	"EDN3"	"SFTA2"	0.297619047619048	"CDH3"	"GLP2R"	"GLP2R"	"TNXB"	"PHOX2B"	"KIAA1257"	"STMN2"	"CNR1"	"TRPM6"	"GCG"	"ADH1B"	"SLC51B"	"SLC10A2"	"MMP11"	"BEST4"	"LGI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C6orf15"	"CLDN1"	"GRIN2D"	"EDN3"	0.288391530370203	"DDN"	"SCGN"	"SLC9A3"	"ABCG2"	"KRT16"	"KRT16"	"TMIGD1"	"GCG"	"NPTX1"	"ANGPTL7"	"ZIC2"	"KRT17"	"TNXB"	"BRINP3"	"TRIM29"	"DDN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PIRT"	"SPIB"	"LYVE1"	"MMP1"	0.274500923074718	"PYY"	"SLC4A4"	"MS4A12"	"PIRT"	"DNASE1L3"	"CDH3"	"NGB"	"CHRM2"	"AL161431.1"	"LINC01411"	"ITLN1"	"AC007128.1"	"DPT"	"ZIC2"	"WNT2"	"PHOX2B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADTRP"	"KLK6"	"FGF19"	"CEMIP"	0.272159985601733	"BMP3"	"LGI1"	"ABCB11"	"FGF19"	"SLC26A2"	"CCN5"	"AL161431.1"	"AC087379.1"	"SH3TC2"	"TRIM29"	"B3GALT1"	"CPNE7"	"SCGN"	"CNTFR"	"SST"	"DPEP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ABCG2"	"SLC10A2"	"SH3TC2"	"TNXB"	0.259915082128627	"ETV4"	"RERGL"	"DHRS9"	"PI16"	"KLK7"	"GAP43"	"DNASE1L3"	"CHST5"	"CCN5"	"BMP3"	"PRR36"	"CNTFR"	"C16orf89"	"CHP2"	"MMP11"	"LINC02163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT20"	"ABCA8"	"TNXB"	"MMP13"	0.25144053174221	"GUCA2B"	"GCNT2"	"ADCYAP1R1"	"ADTRP"	"ACAN"	"MT1G"	"KLK8"	"PIRT"	"LINC02418"	"FEZF1"	"CNTD2"	"KRT20"	"STMN2"	"KRTAP13.2"	"CHGA"	"ACAN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PI16"	"ETV4"	"ADTRP"	"ADTRP"	0.259522575093403	"TMEM236"	"PLP1"	"SCGN"	"KRT20"	"ANPEP"	"SLC4A4"	"SPIB"	"MT1G"	"SPATA12"	"LYPD8"	"SLC6A19"	"PRSS22"	"CPNE7"	"SCNN1B"	"MMP3"	"COL10A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT6B"	"USP2"	"KRT6A"	"ABCG2"	0.252953966565332	"ADAMTS12"	"PYY"	"SLC4A4"	"CLDN1"	"GAD1"	"FGF19"	"ACAN"	"MMP1"	"MT1H"	"CADM3"	"KRTAP13.2"	"CHRDL1"	"OTX1"	"CASC19"	"ACAN"	"CHRM2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFRP1"	"MAPK15"	"MMP7"	"PIRT"	0.246802204044528	"CNTD2"	"ABCA8"	"EPYC"	"SH3TC2"	"ADCYAP1R1"	"KIF1A"	"KRT16"	"CLEC3B"	"HSD17B2"	"STRA6"	"SPIB"	"AC007608.4"	"GAD1"	"CCN5"	"GUCA2A"	"KLK6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
