"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"FEV"	"KLK6"	"ACAN"	"FEV"	0.5	"CADM3"	"ESM1"	"BEST2"	"ACAN"	"OTX1"	"ADH1C"	"ASB5"	"B3GALT1"	"NKD1"	"IGHV3.7"	"AKR1B10"	"TCEAL2"	"REG1A"	"CXCL5"	"ESM1"	"SFRP5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF19"	"BEST4"	"CHGB"	"LYVE1"	0.474868434298694	"CEMIP"	"TMEM100"	"TG"	"NKD2"	"SLC7A14"	"STUM"	"TRIM29"	"SLC26A3"	"MT1M"	"CNR1"	"CNN1"	"PCSK2"	"C7"	"PIRT"	"MYH11"	"WNT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LYVE1"	"ETV4"	"CEACAM7"	"TESC"	0.471130715106593	"GREM2"	"KLK6"	"GUCA2B"	"LYVE1"	"MAMDC2"	"TCN1"	"B3GALT5.AS1"	"BLACAT1"	"RIMS4"	"SERPINA4"	"PDZRN4"	"SERPINA4"	"MT1M"	"B3GALT5.AS1"	"FEV"	"SLITRK3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACAN"	"SCARA5"	"PIRT"	"ACAN"	0.466640508992434	"PCSK2"	"KRT80"	"COL11A1"	"TESC"	"STMN2"	"SCGN"	"KLK10"	"TCEAL2"	"STMN4"	"PRSS2"	"SCNN1B"	"GPM6A"	"VSTM2A"	"CA7"	"GRIN2D"	"PHOX2B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TESC"	"ACAN"	"BRINP3"	"CHGB"	0.457990127615162	"MAMDC2"	"CST1"	"CDH3"	"GRIN2D"	"CNTN2"	"TMIGD1"	"AC093866.1"	"IL11"	"PLUT"	"MYOC"	"SYNM"	"GREM2"	"COL10A1"	"PCOLCE2"	"ABCG2"	"KRT80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHGB"	"FEV"	"TESC"	"FGF19"	0.427270699182889	"INHBA"	"ETV4"	"CCN5"	"CHGB"	"PRIMA1"	"SST"	"CA4"	"MMP7"	"SLC7A14"	"ADIPOQ"	"B3GALT5.AS1"	"DDN"	"CNN1"	"DSC3"	"SFRP1"	"OTX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC6A19"	"DAO"	"CDH3"	"SLC6A19"	0.365094721939068	"SCARA5"	"CPNE7"	"MS4A12"	"EDN3"	"CA1"	"BCHE"	"PLP1"	"AC055717.2"	"COMP"	"DSC3"	"CILP"	"B3GALT1"	"SFTA2"	"CBY2"	"SCN7A"	"CD177P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDN3"	"LINC02577"	"PI16"	"GRIN2D"	0.345761568250777	"CLEC3B"	"SCGN"	"CDH19"	"MMP7"	"GPM6A"	"MYOC"	"MS4A12"	"INSL5"	"INSL5"	"DDN"	"CNTFR"	"SCN7A"	"KRT24"	"HAND2.AS1"	"ACAN"	"STMN4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL8"	"GAD1"	"C6orf15"	"MMP7"	0.31429342203588	"OTOP2"	"SLC4A4"	"DHRS9"	"FGF19"	"CASQ2"	"PGM5.AS1"	"SPIB"	"ETV4"	"CXCL8"	"STRA6"	"LINC02577"	"UGT2A3"	"GUCA2B"	"NPTX1"	"FOXQ1"	"CEMIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BRINP3"	"RSPO2"	"SFTA2"	"CXCL8"	0.315181440299452	"TMEM100"	"CA2"	"TACR2"	"CEMIP"	"CST2"	"VWA2"	"LY6G6D"	"TPH1"	"DKK4"	"OTOP2"	"C2CD4A"	"PHOX2B"	"C16orf89"	"RIMS4"	"KRT80"	"CA7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C6orf15"	"CLEC3B"	"KRT6B"	"BRINP3"	0.288391530370203	"CPNE7"	"LGI1"	"ADCYAP1R1"	"SFTA2"	"ABCA8"	"LY6G6F.LY6G6D"	"B3GNT7"	"GAD1"	"MYADML2"	"B4GALNT2"	"RERGL"	"IGHA2"	"COL11A1"	"INHBA"	"SFTA2"	"SLC7A14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CEMIP"	"KIAA1257"	"EDN3"	"SFTA2"	0.287097914630718	"CST1"	"RERGL"	"SCGN"	"PI16"	"SST"	"GAD1"	"CEL"	"LINC00659"	"HSD3B2"	"CASQ2"	"MMP7"	"CST2"	"CNTD2"	"KLK7"	"CA7"	"NGB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTA2"	"NSG2"	"GRIN2D"	"EDN3"	0.284090909090909	"TMIGD1"	"PLP1"	"SLC4A4"	"SLC6A19"	"CNTD2"	"FIRRE"	"KRT80"	"MS4A12"	"KIAA1257"	"DPP6"	"NXPE4"	"LINC01234"	"FOXQ1"	"CDH19"	"MMP1"	"NSG2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PIRT"	"SPIB"	"CNGA3"	"MMP1"	0.266945851797432	"CA1"	"PCSK2"	"TESC"	"CXCL8"	"NKD2"	"PLUT"	"SLC30A10"	"KRT80"	"ANGPTL7"	"KIF1A"	"B3GALT1"	"CXCL5"	"ANGPTL1"	"LARGE2"	"KLK6"	"ADAMTS12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ABCG2"	"PDX1"	"LYVE1"	"MMP13"	0.26012309208742	"RSPO2"	"CA1"	"CHGB"	"PIRT"	"SLC30A10"	"KRT6B"	"AC087379.1"	"CST2"	"STK31"	"CXCL5"	"PCOLCE2"	"FABP4"	"CHRDL1"	"ABCG2"	"CEACAM7"	"VWA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL5"	"LGI1"	"FGF19"	"CEMIP"	0.254639397900145	"GUCA2A"	"BEST4"	"SLC26A3"	"CLDN1"	"SLITRK3"	"TCEAL2"	"FGF19"	"ELFN1.AS1"	"ITLN1"	"SFRP1"	"TMEM100"	"ASB5"	"SLC7A14"	"SLC7A14"	"BMP3"	"FEZF1.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT6B"	"WNT2"	"TNXB"	"TNXB"	0.251981066693927	"GUCA2B"	"BMP3"	"CMA1"	"TNXB"	"CA4"	"SFRP5"	"ATP1A2"	"SERPINA4"	"CADM3"	"SCARA5"	"PRSS22"	"GRIN2D"	"NGB"	"PRELP"	"CST1"	"LINC00659"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IL11"	"STRA6"	"KRT6A"	"ABCG2"	0.249897727783859	"ADH1B"	"SST"	"IL11"	"ABCG2"	"GRIN2D"	"LINC00858"	"CXCL8"	"MYOC"	"SCGN"	"AC055717.2"	"ADAMTS12"	"CST1"	"EDN3"	"CNGA3"	"SST"	"LINC02418"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PI16"	"DDN"	"MMP7"	"PIRT"	0.247936745848161	"STMN2"	"CLEC3B"	"CHGA"	"MMP1"	"COMP"	"TACR2"	"AL161431.1"	"BBOX1.AS1"	"KLK7"	"CA4"	"STUM"	"PAH"	"DSC3"	"ADCYAP1R1"	"WNT2"	"TMIGD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFRP1"	"GRIN2D"	"CEMIP"	"CXCL5"	0.246464581330377	"ETV4"	"MAMDC2"	"SERPINA4"	"IL11"	"PRSS22"	"SOX14"	"LINC01811"	"AC026336.3"	"MMP7"	"FABP4"	"AC026336.3"	"CHI3L1"	"MYOC"	"PLUT"	"IL11"	"KRT24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
