"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC6A19"	"GCNT2"	"TESC"	"SLC6A19"	0.380843906022714	"SCARA5"	"CPNE7"	"CDH3"	"GRIN2D"	"FABP1"	"KRT6A"	"DPP10.AS1"	"RIMS4"	"GCG"	"NAP1L2"	"GUCA2B"	"STK31"	"STMN2"	"FABP1"	"SFRP1"	"ESM1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KIF26B"	"SLC17A8"	"CDH3"	"KIF26B"	0.367070551764875	"CEMIP"	"OTOP2"	"CCN5"	"MMP7"	"SYNM"	"ASPA"	"AL161431.1"	"MAMDC2"	"MSX2"	"PLUT"	"C11orf86"	"LINC02163"	"PHOX2B"	"FEZF1.AS1"	"POU5F1B"	"BEST4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDN3"	"KLK6"	"PI16"	"GRIN2D"	0.336730482512884	"KLK6"	"SCGN"	"MS4A12"	"EDN3"	"LGI1"	"LINC02577"	"DDN"	"CHP2"	"FABP6"	"PYY"	"IGHA2"	"CLDN2"	"CLDN2"	"INSL5"	"CXCL8"	"FOXQ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL8"	"LINC02577"	"C6orf15"	"MMP7"	0.313936371854641	"NAP1L2"	"SLC4A4"	"CDH19"	"FGF19"	"BEST2"	"AC026336.3"	"C11orf86"	"CADM3"	"PGM5.AS1"	"PGM5.AS1"	"CA7"	"CADM3"	"LONRF2"	"BMP3"	"KRT80"	"LINC02163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BRINP3"	"DDN"	"SFTA2"	"CXCL8"	0.312289867452668	"CPNE7"	"ASPA"	"DHRS9"	"CEMIP"	"PI16"	"COMP"	"AC005089.1"	"AKR1B10"	"BMP3"	"AL109615.3"	"SLC13A2"	"SYNM"	"GAD1"	"MSX2"	"FOXQ1"	"ETV4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C6orf15"	"SCGN"	"KIF26B"	"BRINP3"	0.285187180032756	"CADM3"	"GCNT2"	"ADCYAP1R1"	"SLC6A19"	"TMEM35A"	"GPM6A"	"PIWIL1"	"GPT"	"SLC25A34"	"AC090116.1"	"ADAMTS12"	"UGT1A8"	"STK31"	"NOTUM"	"MMP1"	"ABCA8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CEMIP"	"TRIB3"	"KRT6B"	"SFTA2"	0.285820301533188	"MAMDC2"	"PLP1"	"SCGN"	"TNXB"	"KRTAP13.2"	"LGI1"	"MSX2"	"ADH1B"	"PRSS22"	"ELFN1.AS1"	"TMEM72"	"TMEM82"	"CHI3L1"	"LINC00659"	"CA7"	"OTX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTA2"	"SPIB"	"EDN3"	"MMP1"	0.284090909090909	"COL10A1"	"EDN3"	"SLC4A4"	"PI16"	"CPNE7"	"ITLN1"	"AC021218.1"	"MAPK15"	"CA2"	"NKD1"	"MS4A10"	"LINC01705"	"B3GNT7"	"PLIN4"	"KLK6"	"AC007128.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CA9"	"GRIN2D"	"GRIN2D"	"EDN3"	0.275657398648953	"TMIGD1"	"PCSK2"	"PKP1"	"CLDN1"	"SLC6A19"	"B3GNT7"	"SLC26A2"	"GCNT2"	"CWH43"	"CDH19"	"CA9"	"CA7"	"KRT75"	"ANGPTL1"	"SFTA2"	"COL11A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TRARG1"	"CRNDE"	"CNGA3"	"CA9"	0.278384667977502	"TMEM100"	"PYY"	"EPYC"	"SFTA2"	"AC026336.3"	"OTX1"	"KIAA1257"	"MMP11"	"LINC01234"	"KLC3"	"FABP6"	"ITLN1"	"CA1"	"GSTA1"	"MMP11"	"MMP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PIRT"	"TMEM100"	"LYVE1"	"MMP13"	0.266442180378947	"EPHX4"	"ABCA8"	"TESC"	"ABCG2"	"KRT6B"	"HEPACAM2"	"CXCL5"	"B3GNT7"	"ADCYAP1R1"	"IGHV3.7"	"CXCL8"	"NGB"	"CCN5"	"C16orf89"	"BMP3"	"FEZF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ABCG2"	"SLC25A34"	"FGF19"	"CEMIP"	0.259978404309209	"VSTM2A"	"BEST4"	"SLC26A3"	"CXCL8"	"AC090116.1"	"ASB5"	"OTX1"	"RERGL"	"MEP1B"	"AL161431.1"	"CLCA4"	"EPYC"	"DAO"	"SLC26A2"	"TRIM29"	"KIAA1257"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL5"	"CLDN1"	"TNXB"	"KRT75"	0.254242872319463	"SLC51B"	"RSPO2"	"IL11"	"PIRT"	"C6orf15"	"EPYC"	"TMEM100"	"TCEAL2"	"C16orf89"	"C16orf89"	"KCNMB2.AS1"	"GAD1"	"AL161431.1"	"LEMD1"	"WNT2"	"IGHV3.7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IL11"	"CEMIP"	"KRT6A"	"TNXB"	0.249799041742677	"SLC25A34"	"BMP3"	"MMP11"	"IL11"	"ADAMTS12"	"ADH1C"	"MS4A10"	"KRT80"	"CRNDE"	"CEACAM7"	"IL11"	"SLC13A2"	"AQP8"	"LGI1"	"GCNT2"	"CLDN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PI16"	"VSTM2A"	"KRT75"	"ABCG2"	0.25504804793662	"NRXN1"	"SLC25A34"	"CHGA"	"MMP1"	"ANPEP"	"MAMDC2"	"AC090116.1"	"INSL5"	"LYVE1"	"TCN1"	"LINC00659"	"TCEAL2"	"C11orf86"	"KLK10"	"IL11"	"SPIB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
