"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CEACAM7"	"SCARA5"	"MYH11"	"PHOX2B"	0.608996442722811	"SPIB"	"KLHL35"	"MYOC"	"POU5F1B"	"ADAM12"	"IL11"	"SCNN1G"	"LINC00858"	"CMTM5"	"GREM2"	"ADH1C"	"CMA1"	"AC007099.1"	"REG3A"	"CEMIP"	"TRIB3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHGB"	"KLHL35"	"TUBB4A"	"CEACAM7"	0.516526473867129	"GLP2R"	"CLDN1"	"BEST2"	"SIX1"	"SLC51B"	"WNT2"	"FXYD1"	"KIAA1257"	"HAND2"	"SIX1"	"PRIMA1"	"SCGN"	"VIP"	"CXCL5"	"FEV"	"CEMIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ACAN"	"FEV"	"SLC6A19"	"CDH3"	0.494995401031905	"INHBA"	"ESM1"	"TG"	"ZBTB16"	"PYY"	"ZIC2"	"SLC26A3"	"CXCL1"	"LY6G6F.LY6G6D"	"RASGEF1C"	"AC020659.1"	"C6orf223"	"IGHV3.7"	"LINC00858"	"CLDN1"	"GRIN2D"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FEV"	"FXYD1"	"ACAN"	"FEV"	0.519230769230769	"KLHL35"	"TMEM100"	"ZIC2"	"ACAN"	"MAPK15"	"PCOLCE2"	"SYT4"	"ACAN"	"SLC17A8"	"MMP1"	"AC007099.1"	"TACSTD2"	"PRPH"	"STK31"	"MYH11"	"AC007182.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RBFOX3"	"CEMIP"	"TRARG1"	"RBFOX3"	0.481338025605419	"TMEM100"	"KLK6"	"GUCA2B"	"MYH11"	"SOX14"	"FABP6"	"SCG3"	"B3GALT1"	"OGN"	"MMP13"	"AGTR1"	"TUBB4A"	"FOXQ1"	"UGT1A8"	"ACAN"	"BEST4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TESC"	"WNT2"	"CHGB"	"CHGB"	0.482259689933231	"ESM1"	"KRT80"	"COL11A1"	"SLC6A19"	"PI16"	"STMN4"	"CA4"	"TESC"	"CXCL5"	"AQP8"	"ADAMTS12"	"CXCL8"	"TNXB"	"SST"	"MMP7"	"CLDN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF19"	"ETV4"	"CEACAM7"	"TESC"	0.479978773409525	"CDH3"	"EPHX4"	"CDH3"	"LYVE1"	"SYT4"	"CPNE7"	"MAPK4"	"AC021218.1"	"PLIN4"	"PCSK2"	"NPY6R"	"ABCG2"	"SALL4"	"RASGEF1C"	"ESM1"	"OTOP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LYVE1"	"SLC25A34"	"PIRT"	"LYVE1"	0.476075460224871	"SLC51B"	"ETV4"	"CCN5"	"GRIN2D"	"AL161431.1"	"AC007099.1"	"REG3A"	"DKK4"	"FABP6"	"VEGFD"	"DHRS9"	"MAPK15"	"MMP1"	"TRPM6"	"ABCG2"	"MMP11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"INA"	"GLP2R"	"TESC"	"ACAN"	0.446310745484358	"BMP3"	"CPNE7"	"GLP2R"	"CHGB"	"MAMDC2"	"KRT23"	"LINC02418"	"LINC02163"	"KRTAP13.2"	"BLACAT1"	"SLCO1B3"	"ECRG4"	"LINC01234"	"MAPK15"	"POU5F1B"	"MSX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC6A19"	"LGI1"	"RBFOX3"	"SLC6A19"	0.41821996011596	"ABCA8"	"MAPK15"	"PYGM"	"TESC"	"LDB3"	"CHGA"	"CXCL3"	"AC123023.1"	"LINC02163"	"SCNN1B"	"LINC01411"	"ATCAY"	"KRT24"	"MMP7"	"FOXQ1"	"ACAN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDN3"	"PDX1"	"CDH3"	"INA"	0.367371666266451	"STMN2"	"OTOP2"	"CHAT"	"INA"	"HEPACAM2"	"CMTM5"	"SIM2"	"ADH1B"	"ADAM12"	"KRT17"	"LARGE2"	"CEACAM7"	"SLC25A34"	"TMEM100"	"INA"	"INHBA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C6orf15"	"SCGN"	"PI16"	"FGF19"	0.332642082649229	"CLDN1"	"AC005089.1"	"MS4A12"	"EDN3"	"GUCA2A"	"CXCL8"	"ADH1C"	"COMP"	"TRPM2.AS"	"TMEM100"	"AL355312.4"	"CNR1"	"SST"	"VEGFD"	"SIX1"	"FOXQ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CXCL8"	"PRKG2"	"C6orf15"	"GRIN2D"	0.315210391819517	"ETV4"	"LGI1"	"CDH19"	"PIRT"	"SCNN1B"	"LARGE2"	"FEV"	"SLC26A3"	"SCNN1G"	"LINC00659"	"POU5F1B"	"BBOX1.AS1"	"CXCL8"	"ACAN"	"SFRP1"	"LY6G6F.LY6G6D"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TRARG1"	"ABCA8"	"SFTA2"	"EDN3"	0.313361447555641	"SCGN"	"GLP2R"	"ABCB11"	"MMP7"	"C6orf223"	"CRNDE"	"KRT6A"	"RERGL"	"EPHX4"	"TRPM6"	"FABP1"	"RASGEF1C"	"SERPINA4"	"CLCA4"	"CXCL8"	"CST2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PIRT"	"NPY2R"	"KRT6B"	"MMP7"	0.296851342270022	"TMIGD1"	"SCGN"	"DHRS9"	"SFTA2"	"TACSTD2"	"SIM2"	"C11orf86"	"L1CAM"	"FABP1"	"TCEAL2"	"NPY2R"	"LINC01234"	"EDN3"	"INHBA"	"MMRN1"	"SLC26A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CEMIP"	"KLK6"	"EDN3"	"SFTA2"	0.291602413380296	"EPHX4"	"SLC4A4"	"ADCYAP1R1"	"CEMIP"	"RBFOX3"	"SLC51B"	"FEZF1"	"BEST4"	"STPG4"	"SLC5A7"	"CNTN2"	"SLC26A3"	"PPP1R1A"	"KLK7"	"CEACAM7"	"DPEP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTA2"	"NRXN1"	"GRIN2D"	"CXCL8"	0.288461538461538	"AC005089.1"	"SLC26A3"	"SCGN"	"PI16"	"SLC6A19"	"MS4A10"	"PKP1"	"PGM5.AS1"	"MMP1"	"FIRRE"	"CXCL8"	"AC007099.1"	"RSPO2"	"PRKG2"	"KRT80"	"KRT80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT6B"	"OTOP2"	"CNGA3"	"PIRT"	0.27215973069344	"CLEC3B"	"ASPA"	"SLC4A4"	"FGF19"	"MMP7"	"CXCL5"	"TRPM6"	"HEPACAM2"	"CHRDL1"	"DPT"	"MAPK4"	"AL162582.1"	"KRTAP13.2"	"CLEC3B"	"ZBTB16"	"CST1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ABCG2"	"CPNE7"	"LYVE1"	"MMP1"	0.260470829100602	"FAM107A"	"PLP1"	"PKP1"	"TNXB"	"SFRP5"	"AC055717.2"	"AL365357.1"	"PLUT"	"SPIB"	"KRT23"	"MIR1.1HG.AS1"	"LINC00858"	"MEP1B"	"OGN"	"CXCL1"	"CA7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PI16"	"TRIB3"	"FGF19"	"TRARG1"	0.263997102250186	"MAMDC2"	"PCSK2"	"TESC"	"KRT6B"	"LY6G6D"	"GAP43"	"SCARA5"	"TUBB4A"	"VIP"	"SLC17A4"	"IGHV3.7"	"SERPINA4"	"LINC00460"	"DPP6"	"MMP11"	"LINC02163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
